MLA-C01 • DOMAIN 4,GHÉP TÌNH HUỐNG,Monitor Model Inference • Optimize Costs and Performance • Secure ML and AI Workloads,,,,,,,,,
116 mục • 12 cột,Tình huống: C:D • Đáp án: E,Task 4.1 + 4.2 + 4.3,,,,,,,,,
Keyword cần nhớ: cột B,Giải thích: F • Bẫy: G,3 module • Có phần mở rộng GenAI,,,,,,,,,
Đối chiếu: 16/09/2026,Nguồn: K • Có ghi phạm vi,Đối chiếu MLA-C01 và AWS docs; có ghi giới hạn và trạng thái dịch vụ.,,,,,,,,,
Key / Mẫu ghép,Keyword nhận diện,Situation / Prompt (EN),Tình huống (VI),Đáp án / Ghép phù hợp,Vì sao chọn,Phân biệt / Phương án nhiễu,Liên hệ quy trình / Điểm nhớ,Task,Phạm vi / Căn cứ,Nguồn tham khảo,Ngày đối chiếu
D4-M11 — Confidence thấp,uncertain prediction • human review,Some routing predictions have low confidence. How should the team use that signal without confusing it with accuracy?,Một số prediction routing confidence thấp. Dùng tín hiệu này thế nào mà không nhầm với accuracy?,Flag theo confidence threshold cho review/fallback; vẫn đo chất lượng bằng labels,"Confidence là proxy cho uncertainty nội tại, giúp ưu tiên review; correctness cần so outcome và calibration.",Confidence cao vẫn có thể sai; không tính accuracy bằng trung bình confidence.,"D4-P03 • threshold for review, labels for quality",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M12 — Tự báo accuracy dưới mục tiêu,custom quality metric • threshold alarm,Daily accuracy is computed from delayed labels; the team must be notified when it falls below 90%.,Accuracy hằng ngày đã tính từ nhãn trễ; cần tự thông báo khi dưới 90%.,Publish accuracy custom CloudWatch metric → threshold alarm → SNS,Computation đã có; custom metric tạo time series alarmable và SNS đưa cảnh báo tới đội phụ trách.,Lưu kết quả S3 hoặc họp tuần không đáp ứng báo tự động; tăng instance không nâng accuracy.,D4-P06 • 90% là ngưỡng tình huống,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M13 — Một batch nhiễu làm báo liên tục,two of three • nonconsecutive breaches,A drift alarm is noisy on isolated bad batches. The team wants an alert when any two of the last three periods breach.,Alarm drift quá nhạy với một batch xấu; cần báo khi bất kỳ hai trong ba kỳ gần nhất vi phạm.,EvaluationPeriods=3; DatapointsToAlarm=2; chọn Period phù hợp,"M-out-of-N đánh giá đủ số datapoints vi phạm trong cửa sổ, giúp tách trend khỏi một điểm nhiễu.",Không bắt buộc consecutive với cấu hình 2/3; Period duration khác EvaluationPeriods count; xem thêm missing-data policy.,"D4-P06 • M=2, N=3",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M14 — Không có metric hôm nay,missing telemetry • monitoring failure,No quality metric arrived today because the label ingestion job failed. Can the dashboard treat that as a healthy model?,Hôm nay không có quality metric do job nhận nhãn lỗi. Có được coi model khỏe không?,Không; cảnh báo telemetry/label pipeline và cấu hình missing-data treatment,"Không có bằng chứng không phải chất lượng tốt. Theo dõi job completion, freshness và label coverage ngoài metric accuracy.",Không điền accuracy=100% hoặc âm thầm bỏ qua mãi; INSUFFICIENT_DATA cần diễn giải ngữ cảnh.,"D4-P03, P06 • monitor the monitoring path",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M15 — Traffic có mùa vụ,daily cycle • fixed threshold fails,Invocations are high during business hours and low overnight; fixed alarms either fire nightly or miss daytime failures.,"Invocations cao giờ làm, thấp ban đêm; threshold cố định báo mỗi đêm hoặc bỏ lỗi ban ngày.",CloudWatch anomaly detection alarm theo expected band,Band học seasonality và trend để nhận biết lệch so với mức bình thường ở từng thời điểm.,Đặt threshold bằng giá trị cực đại không giải quyết drop ban ngày; xóa alarm làm mất phát hiện tự động.,D4-P07 • dynamic expected range,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M16 — Output chỉ còn một lớp,class-share shift • healthy infrastructure,A classifier suddenly assigns almost every request to one class while latency and server errors remain normal.,"Classifier đột ngột gán gần mọi request vào một lớp, latency và server errors vẫn bình thường.",Prediction distribution monitoring → data/preprocessing/model investigation,"Class proportions là signal độc lập hạ tầng; so baseline và segment, kiểm change history, xác nhận outcomes khi có.",Không khẳng định model sai chỉ từ shift vì class prevalence thật có thể đổi; không chỉ nhìn server health.,D4-P08 • outputs can fail silently,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M17 — Chọn trigger retraining,event-driven • on-demand • scheduled,Match the trigger: unexpected quality alarm; a new product policy; predictable seasonal demand.,Ghép trigger: quality alarm đột xuất; chính sách sản phẩm mới; nhu cầu mùa vụ biết trước.,Alarm → event-driven; business decision → on-demand; seasonality → scheduled,EventBridge rule nhận signal; người khởi động khi thay đổi ngoài metrics; lịch phù hợp tốc độ model lỗi thời.,Ba trigger không thay validation/evaluation/approval; mỗi lần trigger không nghĩa deployment tự động.,D4-P09 • trigger type ≠ quality gate,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M18 — Data hỏng mà retrain ngay,missing source • validate before train,A source stopped sending required data and triggered a drift alarm. Should automatic retraining be the first response?,Nguồn ngừng gửi dữ liệu bắt buộc và báo drift. Có nên retrain tự động ngay không?,Sửa/khôi phục nguồn và validate dữ liệu trước,Model không thể học đúng từ input thiếu/hỏng. Triage root cause rồi quyết định có cần train candidate bằng data hợp lệ.,Không gom mọi alarm vào cùng hành động train; quality gate không cứu được dữ liệu tham chiếu sai nếu kiểm định cũng sai.,"D4-P08, P09 • correct the cause",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M19 — So candidate với rủi ro hạn chế,live comparison • small traffic share,A new model scores well offline; compare it with the current model on live requests while limiting exposure.,Model mới tốt offline; cần so model hiện tại trên request thật và giới hạn ảnh hưởng.,Production variants với phần traffic nhỏ cho candidate,Variants phục vụ concurrent live requests; per-variant metrics/outcomes cho bằng chứng quality/business và guardrails.,Chạy thêm synthetic test không thay A/B live; đổi toàn bộ traffic ngay không giới hạn exposure.,D4-P10 • controlled real-traffic experiment,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M20 — Request phải vào variant cụ thể,TargetVariant • override weighted routing,"The endpoint is configured for 90/10 traffic, but one request must be handled by a named variant.",Endpoint chia 90/10 nhưng một request phải vào variant được chỉ định.,InvokeEndpoint với TargetVariant,Routing theo TargetVariant chọn đúng variant cho request đó và ghi đè lựa chọn ngẫu nhiên theo weights.,Không sửa global weights chỉ để điều khiển một request; custom routing phải được ghi nhận khi phân tích A/B bias.,D4-P10 • per-request targeting,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M21 — Candidate nhanh hơn nhưng recall kém,latency improvement • quality guardrail,"Candidate latency improves, but labeled fraud recall is lower than the accepted threshold. Should it be promoted?",Candidate giảm latency nhưng recall fraud có nhãn thấp hơn ngưỡng chấp nhận. Có nên promote?,Chưa promote; quality guardrail không đạt,Model selection dựa cả predictive/business quality và vận hành. Latency tốt không bù được vi phạm yêu cầu recall đã đặt.,Không chọn theo invocations nhiều hơn hoặc một metric thuận lợi; cần cùng cohort/mẫu đủ để so.,D4-P10 • evaluate all success criteria,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M22 — Truy dữ liệu tạo model lỗi,dataset provenance • downstream impact,A training dataset has incorrect labels. The team needs to find related models and affected deployments.,Dataset training có nhãn sai; cần tìm model liên quan và deployment bị ảnh hưởng.,ML Lineage Tracking kết hợp Model Registry và deployment metadata,Lineage theo quan hệ artifact; registry xác định version/approval; mapping deployment cho biết phạm vi production.,Model card mô tả context nhưng không thay dependency graph; chỉ tìm metric endpoint không truy được nguồn data.,D4-P11 • lineage = provenance,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M23 — Mục đích model có còn phù hợp,intended use • business-domain change,A deployed model is now used in a new business context. Where should investigators review its original assumptions and limitations?,Model đang dùng cho bối cảnh kinh doanh mới. Tra giả định và giới hạn ban đầu ở đâu?,"Model card, kèm evaluation evidence và owner review",Card lưu intended use/training/evaluation context; so với việc dùng mới để biết cần thêm validation/KPI hay model khác.,Approval status một mình không chứng minh phù hợp mục đích mới; monitoring tự động không quyết định thay yêu cầu business.,D4-P11 • documentation + human judgment,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M24 — Agent chậm tại một step,trace • operation span • bottleneck,An agent is slow and the team must locate the workflow step responsible.,Agent phản hồi chậm; cần xác định step gây ra trong workflow.,AgentCore Observability traces và per-step spans,"Span timing tách model, retrieval, tool API; từ đó quy đúng owner và hành động.",CPU tổng hoặc daily accuracy không chỉ ra step; prompt suite trước release không thay production trace.,D4-P12 • inspect workflow timing,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M25 — Escalation tăng không có API error,5% to 25% • behavioral pattern,"Human escalations jump from 5% to 25%, although all tool calls return successfully.","Escalation sang người tăng 5% lên 25%, dù tool calls đều thành công.",Behavioral metrics và review instruction/tool/policy changes,"Một agent có thể hoàn thành ít việc hơn mà không lỗi kỹ thuật. So intent mix, phiên bản và session mẫu để tìm nguyên nhân.",Không mặc định nâng capacity; cũng không cấm escalation để hạ rate khi nó cần thiết.,D4-P13 • behavior across sessions,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M26 — Hỏi/truy xuất lặp lại,repeated clarification • repeated document • token waste,An agent repeatedly asks the same clarification and retrieves the same document without progressing.,Agent hỏi lại câu làm rõ và truy xuất cùng tài liệu nhiều lần mà không tiến triển.,"Loop detection theo session, giới hạn và fallback phù hợp",Repeated-action patterns tiêu token và user effort dù APIs thành công; phát hiện bằng behavioral telemetry và xem traces.,Retry tạm thời có chủ đích không luôn là loop; không chỉ dựa error rate.,D4-P13 • repeated action without progress,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M27 — Tool API tăng lỗi,ServiceNow failure • integration owner,ServiceNow API failures spike while model invocations and other tools remain healthy.,"API ServiceNow lỗi tăng, model invocation và các tool khác bình thường.",Điều tra integration/tool layer và chuyển đúng owner,"Tool-specific errors/spans hướng tới dependency, credentials, contract hoặc availability thay vì model weights.",Fine-tuning hoặc retrain không sửa API credentials/contract; vẫn xem evidence trước kết luận cụ thể.,"D4-P12, P13 • separate tool from model",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M28 — Latency tăng vì output dài,output tokens ↑ • stable OTPS,"Invocation latency and output tokens both increase after a prompt update, while OTPS stays stable.","Latency và output tokens cùng tăng sau prompt update, OTPS vẫn ổn.",Kiểm prompt/response length và model behavior,"Throughput không giảm nhưng mỗi request tạo nhiều token hơn. Review instruction, output budget và helpfulness trước điều chỉnh.",Không kết luận capacity thiếu chỉ từ latency. Cắt response có thể ảnh hưởng chất lượng nên cần evaluate.,D4-P14 • length versus speed,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M29 — OTPS giảm và TTFT có dữ liệu,streaming • generation throughput decline,Streaming latency rises and OTPS falls for comparable requests. Which investigation is most relevant?,Streaming latency tăng và OTPS giảm trên request tương đương. Điều tra nào phù hợp?,"Model-side throughput/capacity/performance, kết hợp errors/throttles và provider status",Token generation chậm hơn là tín hiệu khác với chỉ output dài. Giữ cùng model/window/operation để so và kiểm actual request evidence.,"Không chỉ sửa verbosity nếu throughput thật đã giảm; OTPS là tín hiệu, chưa chỉ ra nguyên nhân duy nhất.",D4-P14 • lower generation throughput,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M30 — Tính OTPS và điều kiện streaming,200 tokens • 3000 ms • 500 ms,"For a streaming request, output tokens are 200, total latency is 3000 ms, and first-token latency is 500 ms. Estimate OTPS.","Request streaming có 200 output tokens, total latency 3000 ms, TTFT 500 ms. OTPS xấp xỉ bao nhiêu?",80 tokens/second,200/(3000−500)×1000 = 80. Trừ thời gian trước token đầu và đổi milliseconds sang seconds theo công thức bài.,Không chia cho 3000 rồi bỏ TTFT; không áp công thức khi non-streaming thiếu TTFT hoặc mẫu số không hợp lệ.,D4-P14 • units and operation scope,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M31 — FM nhanh nhưng hữu ích giảm,quality layer • representative evaluation,"Latency and error rates are normal, but users increasingly edit or ignore generated suggestions.",Latency/errors bình thường nhưng người dùng ngày càng sửa hoặc bỏ gợi ý.,Human helpfulness feedback và scheduled Bedrock quality evaluations,Used/edited/ignored và judge/programmatic scores đo quality layer không thể thấy qua metric runtime; cần xem task mix và case cụ thể.,"Không gọi HTTP 200 là chất lượng tốt; edited không luôn nghĩa sai, phải đọc ngữ cảnh.",D4-P15 • operational health ≠ useful output,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M32 — RAG thiếu căn cứ vì nguồn cũ,grounding decline • stale knowledge,A RAG assistant cites an outdated policy and grounding-related quality declines. What should be inspected before fine-tuning?,RAG assistant dẫn policy cũ và chất lượng grounding giảm. Cần xem gì trước fine-tune?,"Retrieved evidence, source freshness, ingestion/index state và retrieval configuration",Câu trả lời phụ thuộc nguồn nhận được; cập nhật/sync và kiểm truy xuất đúng có thể giải quyết root cause trước khi sửa FM.,Có citation không chứng minh đúng/hiện hành; source cập nhật nhưng index chưa xong vẫn có thể trả dữ liệu cũ.,"D4-P16 • retrieval first, generation next",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M33 — Judge score đổi sau thay evaluator,versioned rubric • comparable evaluation,Quality scores drop after the team changes both the model and the judge rubric. Is this clear evidence of a model regression?,Điểm quality giảm sau khi đổi cả model và rubric judge. Có đủ kết luận model regression không?,Chưa; cần evaluation có cấu hình so sánh được,"Dataset, judge và rubric là thành phần phép đo. Giữ control hoặc chạy đối chiếu để tách thay đổi evaluator khỏi chất lượng candidate.",Không treat judge như ground truth tuyệt đối hoặc so hai score khác rubric như cùng thang đo.,D4-P15 • version measurement configuration,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M34 — Guardrail rate tăng,interventions • traffic mix • policy categories,Guardrail interventions rise after opening the assistant to a new audience. What should the team do?,Guardrail can thiệp tăng sau mở assistant cho nhóm người dùng mới. Cần làm gì?,"Normalize rate, phân loại policy, review input/output samples và thay đổi exposure",Tăng count có thể do traffic; tăng rate có thể do input mix/model behavior/policy. Cần đủ ngữ cảnh trước thay đổi safeguards.,Không tắt/nới guardrail chỉ để giảm số alert; rate thấp không chứng minh không còn vi phạm lọt qua.,D4-P17 • review safety signals,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M35 — Chọn loại bằng chứng giám sát,traditional ML • FM • agent workflow,Match evidence to component: classifier; generative response assistant; agent with tools.,Ghép bằng chứng giám sát cho: classifier; assistant sinh response; agent dùng tool.,Classifier → labels/drift; FM → helpfulness/grounding/tokens; agent → traces/tool patterns/loops,Classifier có prediction–label; FM cần đánh giá nhiều chiều output; agent cần nhìn cả workflow và hành vi qua session. Cả ba vẫn theo dõi operational health.,"Không dùng chung accuracy làm thước đo duy nhất; một bộ monitoring cần bổ sung các góc nhìn, không thay thế lẫn nhau.","D4-P18 • three shapes, distinct monitoring evidence",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M36 — Model Monitor trong tài khoản mới,exam knowledge • availability check,"The exam guide names Model Monitor, but a new AWS customer is designing monitoring today. How should the study note distinguish these contexts?","Exam guide nêu Model Monitor, nhưng khách hàng AWS mới thiết kế monitoring hiện tại. Ghi chú cần phân biệt gì?",Giữ kiến thức đề thi; kiểm trạng thái dịch vụ hiện hành và phương án triển khai,"AWS docs hiện nói không mở Model Monitor cho khách hàng mới, khách hàng cũ tiếp tục dùng. Khái niệm baseline/drift vẫn cần học; triển khai phải căn cứ availability.",Không suy rằng dịch vụ đã biến mất khỏi mọi đề hoặc khách hàng hiện hữu phải dừng. Ghi ngày đối chiếu và nguồn.,D4-P01 • exam scope and current deployment differ,4.1,Bổ sung Domain 4,"https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9
https://docs.aws.amazon.com/sagemaker/latest/dg/model-monitor-availability-change.html",16/09/2026
"D4-M37 — CPU và memory thấp, p99 đạt SLA",underutilized • benchmark smaller/family,"An inference fleet has low CPU and memory utilization, while p99 latency is well below the application's limit. The team wants lower cost without reducing required throughput or reliability. What should it do first?","Fleet inference có CPU/memory thấp, p99 thấp hơn nhiều giới hạn ứng dụng. Nhóm muốn giảm chi phí nhưng vẫn giữ throughput và độ tin cậy. Nên làm gì trước?","Đo baseline và benchmark candidate rightsizing đủ memory, có thể đổi size/family/count.","Utilization thấp là tín hiệu thử cấu hình hiệu quả hơn; benchmark peak, p99, memory và total fleet cost xác nhận phương án đạt yêu cầu trước rollout.",Không giảm instance chỉ theo average CPU; không mua commitment cho cấu hình dư hiện tại rồi mới tối ưu.,D4-P19; D4-P20,4.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
