MLA-C01 • DOMAIN 1,GHÉP TÌNH HUỐNG,Các tình huống được diễn giải để ôn tập; không ghi là đáp án chính thức của bộ đề.,,,,,,,,,
62 mẫu ghép • 12 cột,Đọc C:D → chọn ở E,Ảnh 4 và 5 trùng nhau: hợp nhất thành M01–M03 (Token / Embedding / RAG).,,,,,,,,,
Keyword: B • Giải thích: F,Phương án nhiễu: G,"Các câu về regularization, chọn thuật toán và luồng train/deploy đầy đủ được dành cho domain tương ứng.",,,,,,,,,
Đối chiếu: 14/09/2026,Nguồn: K • Task: I,M43–M62: Validate Data; liên hệ P01–P42. Tự diễn giải để ôn tập.,,,,,,,,,
Key / Mẫu ghép,Keyword nhận diện,Situation / Prompt (EN),Tình huống (VI),Đáp án / Ghép phù hợp,Vì sao chọn,Phân biệt / Phương án nhiễu,Liên hệ quy trình / Điểm nhớ,Task,Phạm vi / Căn cứ,Nguồn tham khảo,Ngày đối chiếu
M11 • Delivery streaming ít vận hành,"• Managed delivery
• Buffering
• Destination
• Low operational overhead",Continuously deliver event records to S3 with managed buffering and delivery.,Liên tục giao record sự kiện vào S3 với buffering và delivery được quản lý.,Amazon Data Firehose,"Firehose phù hợp khi đích chính là lưu/giao dữ liệu và muốn giảm công việc vận hành ứng dụng delivery. Transform/format conversion là khả năng cấu hình theo hỗ trợ, không mặc định xảy ra.","Kinesis Data Streams phù hợp nhiều nhu cầu custom consumers/replay; cần thêm ứng dụng/sink để xử lý. Flink phù hợp tính toán stateful/windowed, không chỉ là dịch vụ giao file.","P06. Keyword buffering nhắc phải xét latency/freshness, không khẳng định per-event delivery tức thời.",1.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/firehose/latest/dev/what-is-this-service.html",14/09/2026
M12 • Tính feature theo cửa sổ,"• Stateful processing
• Window aggregation
• Event time
• Late events",Compute a rolling transaction count for each customer from incoming events.,Tính số giao dịch trong cửa sổ thời gian cho từng khách hàng từ sự kiện đến liên tục.,Amazon Managed Service for Apache Flink,"Flink hỗ trợ stateful stream processing, windowing và xử lý theo event time để tạo aggregate/feature. Cần cấu hình source, logic, state/checkpoints và sink phù hợp.",Firehose không thay mọi phép tính stateful window phức tạp. Feature Store lưu feature records nhưng không tự biết phải tính cửa sổ 5 phút nếu chưa có logic.,"P07 bước 2. Phân biệt event time/processing time, late events và dữ liệu thực sự sẵn có.",1.2,Mở rộng từ bài học,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/managed-flink/latest/java/how-it-works.html",14/09/2026
M13 • Đồng bộ file qua mạng,"• NFS / SMB source
• Data transfer
• Verification",Transfer files from an on-premises network file system to supported AWS storage with managed verification.,"Chuyển file từ filesystem on-premises lên storage AWS được hỗ trợ, có quản lý và xác minh transfer.",AWS DataSync,"DataSync hỗ trợ việc chuyển dữ liệu giữa nguồn/đích được hỗ trợ, với task options và cơ chế theo dõi/verification. Phù hợp câu hỏi chuyển file qua mạng và giảm công việc scripting vận hành.","DMS tập trung database migration/CDC, không phải mọi NAS transfer. DataSync không tự tạo feature hoặc sửa nhãn; ETL vẫn là bước riêng.",P04. Xác nhận agent/network/source-target support và kiểm tra kết quả trước khi dùng dataset.,1.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/datasync/latest/userguide/how-datasync-transfer-works.html",14/09/2026
M14 • Database full load + CDC,"• Supported database
• Initial load
• Ongoing changes","Migrate a supported database and continue replicating inserts, updates, and deletes.","Nạp database được hỗ trợ rồi tiếp tục sao chép các thay đổi thêm, sửa, xóa.",AWS Database Migration Service (DMS),DMS cung cấp task migration/replication theo nguồn/đích được hỗ trợ. Full load xây dữ liệu nền; CDC xử lý thay đổi khi cấu hình nguồn/log/quyền đúng.,"DataSync chuyển dữ liệu/file theo nguồn hỗ trợ, không thay transaction-log CDC của database. Glue ETL có thể xử lý dữ liệu ở đích nhưng không tự là DMS replication task.",P05. Không suy từ DynamoDB target sang DynamoDB source; cần xem danh sách endpoint hiện hành.,1.1,Mở rộng từ bài học,"https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Task.CDC.html
https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Introduction.Sources.html",14/09/2026
M15 • Tra cứu feature mới nhất nhanh,"• Online store
• Latest record
• Low-latency lookup",Retrieve the latest feature record for an entity with low latency.,Tra cứu bản ghi feature mới nhất của một thực thể với độ trễ thấp.,SageMaker Feature Store — Online store,Online store phục vụ truy xuất nhanh theo record identifier và chủ yếu giữ bản ghi mới nhất. Pipeline cập nhật phải bảo đảm freshness và định nghĩa feature nhất quán.,Offline store phù hợp lịch sử và query để xây training/batch datasets. API đọc nhanh không chứng minh dữ liệu vừa được cập nhật.,P07/P09: ingest feature; kiểm tra latest update trước khi sử dụng.,1.1,Mở rộng từ bài học,https://docs.aws.amazon.com/sagemaker/latest/dg/feature-store.html,14/09/2026
M16 • Feature history cho training,"• Offline store
• Historical records
• S3 / Parquet
• Athena",Query historical feature values to construct a training dataset.,Truy vấn các giá trị feature lịch sử để tạo training dataset.,SageMaker Feature Store — Offline store,"Offline store giữ lịch sử feature trên S3 và hỗ trợ truy vấn phục vụ dataset building. Khi cần dữ liệu đúng thời điểm, phải viết logic as-of join và kiểm tra dữ liệu đến muộn.",Online latest record không đại diện cho mọi thời điểm trong quá khứ. Có lịch sử không tự bảo đảm point-in-time correctness.,P10 — tạo dataset theo cutoff; P09 — ingest dữ liệu vào store phù hợp.,1.1,Mở rộng từ bài học,https://docs.aws.amazon.com/sagemaker/latest/dg/feature-store.html,14/09/2026
M17 • Chênh lệch số mẫu giữa nhóm,"• Facet representation
• Group counts
• CI",Compare the number of training examples across two facet groups.,So sánh số mẫu huấn luyện giữa hai nhóm facet.,Class Imbalance (Clarify CI),"CI = (n_a−n_d)/(n_a+n_d). Chỉ số tập trung quy mô/đại diện của nhóm; dấu phụ thuộc cách gán a/d. Ví dụ 800 và 200 mẫu → CI=0,6.","DPL đo chênh lệch tỷ lệ nhãn positive giữa nhóm, không phải chỉ số đếm quy mô nhóm. Class imbalance của target là một khái niệm cần phân biệt theo ngữ cảnh.","P16 bước đo bias. Nhớ Group counts → CI.

M54 so sánh CI và DPL bằng cùng một ví dụ; P42 minh họa facet/target khác nhau từ walkthrough.",1.3,Mở rộng từ bài học,"https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-bias-metric-class-imbalance.html
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain1.html
https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA",14/09/2026
M18 • Chênh lệch tỷ lệ nhãn positive,"• Positive-label rates
• Facets
• DPL",Compare positive-label proportions across two facet groups before training.,So sánh tỷ lệ nhãn positive giữa hai nhóm facet trước training.,Difference in Proportions of Labels (DPL),"DPL = q_a−q_d, với q là tỷ lệ nhãn positive trong mỗi nhóm. Ví dụ 70% và 40% → DPL=0,30, tức chênh lệch 30 điểm phần trăm.",CI có thể bằng 0 khi hai nhóm cùng số mẫu nhưng DPL vẫn khác 0 vì nhãn phân bố khác. DPL không phải chênh lệch dự đoán của model sau training.,"P16. Nhớ Label-rate gap → DPL; phải xác định positive label và hướng so sánh.

M54 so sánh CI và DPL bằng cùng một ví dụ; P42 minh họa facet/target khác nhau từ walkthrough.",1.3,Mở rộng từ bài học,"https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-data-bias-metric-true-label-imbalance.html
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain1.html
https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA",14/09/2026
M19 • Category không có thứ tự,"• Nominal categories
• Indicator columns
• No artificial order",Represent unordered categories without assigning a numeric ranking.,Biểu diễn category không có thứ tự mà không tạo thứ bậc số giả.,One-hot encoding,"Tạo indicator cho từng category, thường dưới dạng sparse khi nhiều cột. Fit vocabulary từ train; quy định cách xử lý category mới và giữ schema đầu vào nhất quán.",Ordinal encoding phù hợp khi thứ tự có ý nghĩa hoặc model xử lý thích hợp; mã hóa quốc gia thành 0/1/2 có thể áp đặt quan hệ giả. One-hot vẫn có chi phí khi cardinality cao.,P12 bước fit/transform preprocessing; liên quan P11 tạo data flow.,1.2,Bổ sung Domain 1,"https://scikit-learn.org/stable/modules/preprocessing.html
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain1.html
https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM",14/09/2026
"M20 • Mean 0, variance 1","• z-score
• Mean / standard deviation
• Train statistics",Rescale features using training-set means and standard deviations.,Đổi thang feature bằng trung bình và độ lệch chuẩn tính từ tập train.,Standardization,"z=(x−μ_train)/σ_train. Phép biến đổi làm thang đo phù hợp hơn cho các phương pháp cần scaling, nhưng không biến mọi phân phối thành Gaussian.",Min-max scaling dùng min/max để đưa về phạm vi chọn trước; vector normalization thường chuẩn hóa norm từng mẫu. Không fit lại thống kê trên test/inference.,P12. Dấu hiệu Mean/standard deviation → Standardization.,1.2,Bổ sung Domain 1,"https://scikit-learn.org/stable/modules/preprocessing.html
https://scikit-learn.org/stable/common_pitfalls.html
https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM",14/09/2026
M21 • Đánh giá trên giai đoạn tương lai,"• Temporal order
• Past → future
• Time-based split",Prepare data splits for a model that will make predictions in later time periods.,Chuẩn bị các tập dữ liệu để mô phỏng dự đoán ở giai đoạn tương lai.,Time-based split,Dùng dữ liệu sớm hơn cho train và giai đoạn sau cho validation/test; có thể dùng rolling/expanding windows theo mục tiêu đánh giá. Tạo lag/rolling features phải chỉ dùng thông tin sẵn có trước cutoff.,Random shuffle có thể trộn tương lai/quá khứ không phù hợp bài toán. Stratification giữ tỷ lệ nhãn nhưng không tự xử lý phụ thuộc thời gian hoặc cùng thực thể.,P12 cách split; P10 cách chọn feature đúng thời điểm. Không có tỷ lệ chia cố định tối ưu cho mọi dataset.,1.3,Bổ sung Domain 1,"https://scikit-learn.org/stable/modules/cross_validation.html
https://scikit-learn.org/stable/common_pitfalls.html
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain1.html",14/09/2026
M22 • Feature đúng tại mốc dự đoán,"• As-of join
• Available at prediction time
• No future leakage",Select historical feature values that were available when each prediction would have been made.,Chọn giá trị feature lịch sử đã sẵn có tại thời điểm dự đoán của từng mẫu.,Point-in-time correctness,"Mỗi dòng cần entity và cutoff riêng. Join lấy phiên bản hợp lệ trước cutoff, xét dữ liệu đến muộn khi cần; kiểm tra bằng các mẫu lịch sử đã biết để tránh gắn feature tương lai.",Lấy MAX(event_time) toàn bảng có thể chọn giá trị tương lai. Join theo ID mà bỏ thời gian không tạo dataset point-in-time correct.,P10. Lưu offline history là bước hỗ trợ; query/logic join quyết định tính đúng thời điểm.,1.3,Bổ sung Domain 1,"https://docs.aws.amazon.com/sagemaker/latest/dg/feature-store.html
https://scikit-learn.org/stable/common_pitfalls.html",14/09/2026
M23 • Kích cỡ có thứ tự,"• Meaningful order
• Compact → mid-size → full-size",Identify the data type of vehicle sizes ordered from compact to full-size.,Xác định loại dữ liệu của các mức kích cỡ xe có thứ tự tự nhiên.,Ordinal categorical data,Các mức có thứ bậc nghiệp vụ; mã số dùng sau đó chỉ là cách biểu diễn. Khoảng cách giữa hai mức không nhất thiết bằng nhau.,Nominal không có thứ tự; numerical đo một đại lượng; binary chỉ có hai mức. Đừng chọn numerical chỉ vì có thể gán mã 0/1/2.,P24: xác định loại cột trước khi chọn encoder. Giữ mapping theo thứ tự thực tế.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M24 • Trạng thái Yes/No,"• Exactly two values
• Binary category",Classify a feature that records whether a customer has opted in: Yes or No.,Phân loại cột thể hiện trạng thái đồng ý với đúng hai giá trị Yes/No.,Binary categorical data,Hai category có thể map nhất quán sang 1/0. Giá trị chưa biết cần chính sách riêng thay vì mặc định thành No.,Binary categorical khác binary encoding nhiều category bằng các bit. Không phải dữ liệu đo lường liên tục.,"P24. Nhớ “two categories”, rồi mới quyết định xử lý null và mapping.",1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M25 • One-hot tạo quá nhiều cột,"• High cardinality
• Wide sparse matrix",One-hot encoding a product identifier creates hundreds of thousands of columns. What property drives this growth?,One-hot một mã sản phẩm tạo hàng trăm nghìn cột; đặc điểm nào gây tăng kích thước?,High categorical cardinality,"Số category riêng biệt quyết định độ rộng biểu diễn one-hot. Cần xem nhóm hiếm, tài nguyên và khả năng xử lý categorical của mô hình trước khi chọn giải pháp.","Số dòng lớn khác số category lớn. Dùng mã integer tùy ý có thể giảm cột nhưng gây thứ tự giả, nên không tự động là đáp án tốt.","P24. “Ít cột” là một tiêu chí tài nguyên, không thay ý nghĩa dữ liệu.",1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M26 • Đưa số về khoảng 0–1,"• Minimum / maximum
• Bounded training range","Rescale a numeric feature using its training minimum and maximum, targeting the range zero to one.",Biến đổi feature theo min/max train để đưa phạm vi train về 0–1.,Min-max scaling / normalization trong bài,Dùng (x−min_train)/(max_train−min_train). Lưu thống kê train để dùng lại; cần xử lý cột hằng theo transformer.,"Standardization tạo mean 0/std 1, không giới hạn 0–1. Vector normalization đưa từng vector về norm, không phải từng cột về min/max.",P25. Giá trị mới vượt biên train có thể ra ngoài 0–1 nếu không clip.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M27 • Dữ liệu dương lệch phải,"• Large values
• Right-skew
• Log / log1p",Prepare a nonnegative spending feature with a long right tail before modeling.,"Chuẩn bị feature chi tiêu không âm, có đuôi phải dài và một số giá trị rất lớn.",Cân nhắc log transformation / log1p,"Log nén độ lớn của giá trị cao, có thể giảm độ lệch và giúp mô hình xử lý quan hệ mang tính nhân. log1p xử lý được số 0 trong miền không âm.",Không tự xóa mọi outlier; one-hot cho số liên tục không giải quyết đúng mục tiêu. Log không phù hợp mọi miền giá trị và không bảo đảm phân phối chuẩn.,"P25: kiểm tra EDA và miền đầu vào trước, sau đó đánh giá biến đổi trên validation.",1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M28 • Mỗi bin có số mẫu gần bằng nhau,"• Equal frequency
• Quantiles
• Variable interval width",Group numeric observations into bins containing approximately equal numbers of records.,Chia giá trị số thành các khoảng có số bản ghi xấp xỉ bằng nhau.,Quantile binning,"Ngưỡng dựa vào các phân vị của train, nên khoảng rộng/hẹp thích nghi phân phối. Hữu ích khi cần mỗi nhóm có lượng dữ liệu tương đối cân bằng.","Equal-width binning giữ độ rộng khoảng, không giữ số mẫu. Nhiều giá trị trùng có thể khiến equal-frequency không hoàn hảo.","P25. Nhớ “equal counts”, không phải “equal widths”.",1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M29 • Đếm từ và bỏ thứ tự,"• Word frequency
• Ignore sequence
• Sparse counts","Represent reviews by how often each vocabulary word appears, without keeping the order.",Biểu diễn review bằng tần suất các từ trong vocabulary và bỏ thứ tự câu.,Bag-of-words,"Mỗi trục ứng với một từ; mỗi tài liệu có vector count, phần lớn có thể bằng 0. Vocabulary phải được học và giữ nhất quán.",Embedding học quan hệ ngữ nghĩa; BoW không tự hiểu đồng nghĩa. N-gram thêm các cụm liên tiếp để giữ trật tự cục bộ.,P26. Hai câu dùng từ khác nhưng cùng nghĩa vẫn có thể xa nhau trong BoW.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
