MLA-C01 • DOMAIN 1,THUẬT NGỮ & KEYWORD,Collect/Store + Transform + Validate Data; Domain 1.,,,,,,,,,,,,,
210 mục • 16 cột,197 mục theo chủ đề Skill Builder,"1.1 Collect, ingest & store data",,,,,,,,,,,,,
Đọc cột B: keyword cần nhớ,13 mục bổ sung Domain 1,1.2 Transform & feature engineering,,,,,,,,,,,,,
Đối chiếu: 14/09/2026,Nguồn: cột O • Ví dụ tự xây dựng,1.3 Data integrity & preparation,,,,,,,,,,,,,
Key / Thuật ngữ,Keyword cần nhớ,Nghĩa tiếng Việt,Definition (EN),Định nghĩa (VI),Cơ chế / Giải thích chi tiết,Ví dụ / Công thức,Vai trò / Khi áp dụng,Điểm dễ nhầm / Điều kiện,Dịch vụ liên quan,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Cross-modal alignment,"• Consistent sample_id
• Correct pairs
• Temporal alignment",Căn chỉnh đa phương thức,Corresponding modality elements are linked consistently.,Liên kết nhất quán các thành phần thuộc cùng mẫu.,"Liên kết đúng ảnh, caption, audio, transcript hoặc frame thuộc cùng một mẫu. Với dữ liệu theo thời gian, cần thêm timestamp/offset để khớp đoạn tương ứng, không chỉ cùng tên thư mục.",sample_id=s001 nối audio với transcript của chính đoạn ghi đó; kiểm tra duration và đoạn thời gian khi ghép clip với phụ đề.,Ngăn mô hình học quan hệ sai do cặp dữ liệu bị lệch; quyết định chất lượng tập đa phương thức.,"Hai tệp riêng lẻ hợp lệ nhưng ghép nhầm vẫn tạo mẫu sai. Phải kiểm tra missing modalities, ID trùng và version của từng thành phần.",S3 manifests,Domain 1,1.1,Đa phương thức,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Lossless / lossy compression,"• Exact reconstruction
• Information loss
• Size-quality trade-off",Nén không mất / có mất dữ liệu,Compression either preserves original information or discards some of it.,Nén bảo toàn thông tin gốc hoặc bỏ một phần thông tin.,"Lossless cho phép khôi phục đúng dữ liệu ban đầu; lossy bỏ một phần thông tin để giảm kích thước. Lựa chọn dựa vào yêu cầu tác vụ và ảnh hưởng của mất thông tin, không chỉ dung lượng.","PNG/FLAC là ví dụ lossless; JPEG/MP3 thường lossy. Với segmentation cần ranh giới pixel, việc nén ảnh mạnh có thể làm mất chi tiết cần thiết.","Cân bằng bandwidth, storage và chất lượng đầu vào ML khi ingest ảnh/audio/video.",Định dạng container không luôn quyết định codec; WAV có thể chứa nhiều encoding. Không giả định một tỷ lệ nén cố định đúng với mọi tệp.,Amazon S3,Domain 1,1.1,Đa phương thức,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Multimodal data,"• Text + image + audio + video
• Alignment
• Per-modality preprocessing",Dữ liệu đa phương thức,A data set combines two or more information modalities.,Tập dữ liệu kết hợp từ hai phương thức thông tin.,"Một dataset hoặc mẫu kết hợp từ hai modality trở lên. Mỗi loại có format, kích thước, preprocessing và nhãn khác nhau, nhưng phải có metadata liên kết để dùng chung.","Một mẫu có ảnh sản phẩm, mô tả và video ngắn; giữ bản gốc, tạo bản chuẩn hóa theo model và ghi quan hệ trong manifest.","Khai thác thông tin bổ sung giữa các modality, hỗ trợ RAG và mô hình đa phương thức trong bài học.",Không phải model nào cũng nhận mọi modality. Cần kiểm tra schema/giới hạn model cụ thể; “có ảnh trong PDF” chưa bảo đảm parser xử lý được thông tin hình ảnh.,S3; Bedrock,Domain 1,1.1,Đa phương thức,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Sample rate,"• Samples per second
• Hz
• Resampling",Tần số lấy mẫu âm thanh,The number of audio samples recorded per second.,"Số mẫu âm thanh ghi mỗi giây, tính bằng Hz.","Số mẫu âm thanh được lấy mỗi giây, quyết định độ phân giải theo thời gian/tần số có thể biểu diễn. Chuẩn hóa theo yêu cầu model hoặc dịch vụ, dùng resampling đúng cách khi cần.","16 kHz nghĩa là 16.000 mẫu mỗi giây; thường gặp trong speech. 44,1 kHz thường dùng âm nhạc, nhưng yêu cầu thực tế phụ thuộc tác vụ.",Giữ input audio nhất quán và kiểm soát dung lượng trước transcription/training.,"Không đổi metadata sample rate mà không resample tín hiệu. Upsampling không khôi phục tần số đã mất; phân biệt sample rate, channel count và bit depth.",Amazon Transcribe,Domain 1,1.1,Đa phương thức,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Apache Avro,"• Row-oriented records
• Binary serialization
• Schema
• Schema evolution",Định dạng tuần tự hóa Avro,A schema-based binary format serializes records.,Định dạng nhị phân dựa trên schema để tuần tự hóa bản ghi.,Tuần tự hóa dữ liệu thành bản ghi nhị phân có schema. Thích hợp luồng record và trao đổi dữ liệu cần kiểm soát cấu trúc; có quy tắc giải quyết writer/reader schema để hỗ trợ thay đổi tương thích.,"Producer thêm trường có default phù hợp, consumer đọc bằng schema tương thích; kiểm thử compatibility trước rollout.","Thuận tiện cho pipeline xử lý lần lượt bản ghi và hệ sinh thái event/schema, không thiên về chỉ đọc ít cột trên file lớn.",Không đồng nhất Avro với RecordIO. Có schema không có nghĩa mọi thay đổi đều tương thích; việc đổi kiểu/xóa trường cần xét quy tắc reader/writer.,Kafka; AWS Glue,Domain 1,1.1,Định dạng,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://avro.apache.org/docs/1.12.0/specification/",14/09/2026
Apache ORC,"• Columnar
• Compression
• Statistics / indexes
• Analytics",Định dạng cột ORC,A columnar format provides compression and indexing for analytics.,Định dạng theo cột hỗ trợ nén và chỉ mục phục vụ phân tích.,"Lưu theo cột, hỗ trợ nén và thông tin thống kê/chỉ mục để engine tránh đọc phần không cần. Thường gặp trong Hive/Spark và phân tích tập dữ liệu lớn.",Query chỉ cần các cột region và amount; column pruning và metadata của file có thể giảm lượng đọc so với toàn record.,"Tối ưu analytics và đọc feature theo cột, giảm storage/I/O khi engine tận dụng được định dạng.","ORC là định dạng file, không phải service. Hiệu quả phụ thuộc query engine, filter, kích thước file và partition; không mặc định vượt Parquet trong mọi workload.",EMR; Athena,Domain 1,1.1,Định dạng,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://orc.apache.org/docs/",14/09/2026
Apache Parquet,"• Columnar storage
• Column pruning
• Compression
• Predicate pushdown",Định dạng cột Parquet,A column-oriented file format supports efficient analytical reads.,Định dạng tệp theo cột giúp đọc phân tích hiệu quả.,Tổ chức dữ liệu theo cột với encoding/nén và metadata hỗ trợ đọc phân tích. Engine có thể đọc cột cần dùng và bỏ row group không phù hợp filter khi được hỗ trợ.,"Tập 100 cột, query chỉ dùng 5 cột và một khoảng ngày: Parquet kết hợp partition/filter phù hợp giảm dữ liệu phải quét.",Lựa chọn mạnh cho tabular data lake và analytics/training reader hỗ trợ Parquet; kết hợp Snappy khi ưu tiên giải nén nhanh.,Không phải mọi built-in algorithm nhận Parquet trực tiếp. Cần chuyển sang input format được hỗ trợ; rất nhiều file nhỏ vẫn gây overhead dù đã dùng Parquet.,Athena; AWS Glue,Domain 1,1.1,Định dạng,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://parquet.apache.org/docs/overview/",14/09/2026
CSV,"• Row-based text
• Delimiters
• Human-readable
• Weak type information",Giá trị phân cách bằng dấu phẩy,A text format represents records as delimited fields.,Định dạng văn bản biểu diễn bản ghi bằng các trường phân cách.,"Dữ liệu bảng được ghi thành dòng và trường phân cách; cần quy ước delimiter, quote, escape, encoding và header rõ. Kiểu dữ liệu thường được suy luận hoặc quy định ngoài file.","Trường chứa dấu phẩy phải quote đúng; ID “0012” nên giữ chuỗi. Khi làm input training, kiểm tra thuật toán có cho header và yêu cầu thứ tự label/feature hay không.","Dễ trao đổi, kiểm tra bằng mắt và tương thích nhiều công cụ; thuận tiện cho tập bảng nhỏ hoặc input yêu cầu CSV.",CSV không tự lưu schema kiểu chặt chẽ. Dấu thập phân/locale và quote sai làm lệch cột; thường kém hiệu quả hơn định dạng cột cho analytics lớn.,S3; SageMaker AI,Domain 1,1.1,Định dạng,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
JSON,"• Objects / arrays
• Key-value pairs
• Nested structure
• Semi-structured",Ký pháp đối tượng JavaScript,"A text format represents objects, arrays, and primitive values.","Định dạng văn bản biểu diễn đối tượng, mảng và giá trị cơ bản.","Biểu diễn object bằng cặp key-value và array bằng danh sách. Hỗ trợ string, number, boolean, null và cấu trúc lồng nhau; phù hợp record có trường không đồng nhất hoặc nested data.","{""customer_id"":""c01"",""orders"":[{""amount"":12.5}],""active"":true} là một object có mảng lồng; cần flatten/aggregate trước nhiều model bảng.","Thích hợp API, log và trao đổi dữ liệu linh hoạt; giữ quan hệ phân cấp rõ hơn bảng phẳng.","Một JSON document lớn có thể cần đọc/parse nhiều bộ nhớ. Giá trị “false” là chuỗi khác false boolean; dấu ngoặc kép phải hợp lệ, không dùng smart quotes trong dữ liệu thật.",Kinesis; AWS Glue,Domain 1,1.1,Định dạng,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
JSON Lines (JSONL),"• One JSON value per line
• Streaming parse
• Independent records
• Model-specific schema",JSON theo từng dòng,Each line is an independent JSON value or record.,Mỗi dòng là một giá trị hoặc bản ghi JSON độc lập.,"Mỗi dòng là một JSON record/giá trị độc lập, thuận tiện đọc từng dòng mà không nạp cả một mảng lớn. Trong dataset ML thường dùng một object cho mỗi mẫu.","Dòng 1: {""text"":""mẫu A"",""label"":0}; dòng 2: {""text"":""mẫu B"",""label"":1}. Schema fine-tuning thực tế phải theo model/API, không mặc định luôn chỉ prompt/completion.","Phù hợp corpus lớn, manifest và nhiều định dạng fine-tuning có thể đọc tuần tự hoặc chia shard.",Không đặt dấu phẩy giữa các dòng như JSON array; phải escape newline bên trong string. JSONL hợp lệ cú pháp chưa đủ đáp ứng schema model.,Bedrock; SageMaker AI,Domain 1,1.1,Định dạng,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM",14/09/2026
RecordIO,"• Sequential records
• Compact binary container
• RecordIO-Protobuf
• Supported algorithms",Định dạng bản ghi nhị phân,A record container stores serialized records for supported algorithms.,Định dạng chứa bản ghi tuần tự hóa cho thuật toán hỗ trợ.,"Container lưu các record tuần tự, có thể dùng cùng Protobuf trong input của một số thuật toán SageMaker. Giúp đóng gói dữ liệu hiệu quả cho pipeline đọc theo record.","Chuyển dataset sang RecordIO-Protobuf theo đúng schema mà built-in algorithm yêu cầu, rồi chọn File/Pipe mode nếu thuật toán hỗ trợ.",Thích hợp khi thuật toán/reader yêu cầu định dạng record nhị phân và training cần lặp qua record nhiều lần.,"RecordIO và Avro là hai định dạng khác nhau. Không tự biến file nhị phân bất kỳ thành input đúng; kiểm tra content type, record schema và support của thuật toán.",SageMaker built-in algorithms,Domain 1,1.1,Định dạng,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Bar chart,"• Comparison analysis
• Categories
• Counts / proportions",Biểu đồ cột,Bar lengths compare values across categories.,Độ dài cột so sánh giá trị giữa danh mục.,Chiều cao/độ dài cột thể hiện số lượng hoặc tỷ lệ của từng danh mục. Dùng để so sánh các nhóm và phân bố mẫu với dân số mục tiêu; trục và mẫu số phải rõ.,Vẽ tỷ lệ nhóm thiết bị của train bên cạnh tỷ lệ người dùng thực tế; chênh lệch lớn cho thấy cần điều tra representativeness.,"Kiểm tra categorical data, imbalance và coverage giữa các nhóm.",Khác histogram dùng khoảng liên tục. Trục bị cắt hoặc so count của dataset khác kích thước có thể gây hiểu sai; dùng tỷ lệ nếu mục tiêu là so cơ cấu.,Quick Sight; Data Wrangler,Domain 1,1.1,EDA,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Box plot,"• Median
• Quartiles
• IQR
• Potential outliers",Biểu đồ hộp,Quartiles summarize spread and potential outliers.,Tứ phân vị tóm tắt độ phân tán và điểm ngoại lai tiềm năng.,"Hộp thể hiện Q1 đến Q3, đường giữa là median; whisker và điểm ngoài thể hiện phạm vi theo quy ước. Hữu ích để so phân phối giữa nhóm và phát hiện điểm cần kiểm tra.","IQR=Q3−Q1; quy ước thường gặp gắn điểm ngoài Q1−1,5×IQR hoặc Q3+1,5×IQR là outlier tiềm năng, không tự là dữ liệu sai.","Tóm tắt độ phân tán, skew và outlier khi số bản ghi lớn, dễ so sánh nhiều nhóm.","Whisker không luôn là min/max; phải xem quy ước công cụ. Phân phối khác nhau có thể có box plot gần giống, nên kết hợp histogram/density.",Data Wrangler,Domain 1,1.1,EDA,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Categorical data,"• Nominal / ordinal
• Frequency
• Proportion
• Encoding",Dữ liệu danh mục,Values represent groups or categories.,Giá trị biểu diễn nhóm hoặc hạng mục.,"Giá trị đại diện nhóm/danh mục. Nominal không có thứ tự nội tại; ordinal có thứ tự nhưng khoảng cách giữa mức chưa chắc bằng nhau. Phân tích bằng counts, proportions hoặc bảng chéo.",Màu sắc là nominal; mức thấp/vừa/cao là ordinal. Chọn one-hot hoặc encoding phù hợp thay vì mặc định mọi mã số đều là số đo.,Giúp chọn biểu đồ và phép biến đổi đúng trước train; kiểm tra coverage và category hiếm/mới.,Cardinality có thể rất lớn. Gán số nguyên cho nominal có thể tạo thứ tự giả; giá trị category chưa thấy ở inference cần chiến lược xử lý.,Data Wrangler,Domain 1,1.1,EDA,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM",14/09/2026
Density plot,"• Distribution analysis
• Smooth density
• Bandwidth",Đồ thị mật độ,A smooth curve estimates a variable's distribution.,Đường cong ước lượng phân phối của biến.,"Ước lượng mật độ liên tục của dữ liệu, cho hình dạng phân phối mượt hơn histogram. Mức làm trơn/bandwidth quyết định bao nhiêu chi tiết hoặc nhiễu được hiển thị.","Hai nhóm có histogram phụ thuộc bin khác nhau: density plot giúp so hình dạng, nhưng phải giữ bandwidth/cách chuẩn hóa phù hợp.","Nhìn mode, skew và sự chồng lấp giữa các nhóm khi khám phá feature số.",Độ cao đường mật độ không phải xác suất tại một điểm; xác suất liên quan diện tích. Làm trơn quá nhiều có thể che nhiều đỉnh hoặc outlier.,Data Wrangler,Domain 1,1.1,EDA,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
