MLA-C01 • DOMAIN 1,DỊCH VỤ & CÔNG CỤ,Collect/Store + Transform + Validate Data; Domain 1.,,,,,,,,,,,,,
76 mục • 16 cột,59 mục theo chủ đề Skill Builder,"1.1 Collect, ingest & store data",,,,,,,,,,,,,
Đọc cột B: keyword cần nhớ,17 mục bổ sung Domain 1,1.2 Transform & feature engineering,,,,,,,,,,,,,
Đối chiếu: 14/09/2026,Nguồn: cột O • Ví dụ tự xây dựng,1.3 Data integrity & preparation,,,,,,,,,,,,,
Key / Dịch vụ hoặc công cụ,Keyword cần nhớ,Definition (EN),Định nghĩa (VI),Benefits / Lợi ích chi tiết,Cơ chế / Quy trình,Use cases / Khi nào dùng,Ví dụ minh họa,Phân biệt / Điều kiện / Lưu ý,Loại,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Amazon Managed Service for Apache Flink,"• Stateful stream processing
• Windows / joins
• Real-time feature engineering
• Managed infrastructure","Amazon Managed Service for Apache Flink runs Apache Flink applications for stateful stream processing on managed infrastructure. Applications consume streams, maintain state and perform operations such as time-window aggregations, joins and real-time feature engineering before writing results to sinks. Checkpointing and recovery support reliable processing, while end-to-end delivery guarantees still depend on connector, sink and application configuration.","Amazon Managed Service for Apache Flink chạy ứng dụng Apache Flink để xử lý stream có trạng thái trên hạ tầng được quản lý. Ứng dụng đọc stream, duy trì state và thực hiện các thao tác như tổng hợp theo cửa sổ thời gian, join, tạo feature thời gian thực trước khi ghi kết quả đến sink. Checkpoint và khôi phục hỗ trợ xử lý tin cậy, nhưng bảo đảm giao dữ liệu từ đầu đến cuối vẫn phụ thuộc connector, sink và cấu hình ứng dụng.","Xử lý stream có trạng thái: aggregation, join, window và feature thời gian thực. Dịch vụ quản lý hạ tầng Flink để đội ngũ tập trung logic. Checkpoint/state recovery hỗ trợ xử lý tin cậy theo cấu hình.","Đọc Kinesis hoặc MSK, xử lý theo event time và cửa sổ, giữ state, phát kết quả qua sink phù hợp. Có thể gọi PutRecord để cập nhật Feature Store hoặc chuyển dữ liệu cho consumer gọi endpoint.","Khi dữ liệu thô cần làm giàu, ghép nhiều stream hoặc tính feature trước suy luận; yêu cầu vượt quá việc chỉ vận chuyển bản ghi.","Đếm số sự kiện theo tài khoản trong 5 phút và tổng giá trị 1 giờ; cập nhật online feature để model dùng ngay, đồng thời giữ lịch sử cho training.","Flink là processing engine, cần nguồn và đích. Exactly-once end-to-end còn phụ thuộc connector/sink và cấu hình; gọi API ngoài cần xét retry/idempotency. Theo dõi backpressure, state size và sự kiện đến muộn.",Dịch vụ,Domain 1,1.1,Streaming,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/managed-service-apache-flink/
https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM",14/09/2026
Amazon MSK,"• Managed Apache Kafka
• Kafka API compatibility
• High availability
• Security
• Scalability","Amazon Managed Streaming for Apache Kafka (Amazon MSK) provides managed infrastructure for Apache Kafka producers and consumers. Applications publish records to topic partitions and read them by offset, retaining the Kafka API and ecosystem while AWS manages underlying service infrastructure. It suits existing Kafka-based data pipelines, but topic design, retention, authentication and consumer processing remain application responsibilities.","Amazon Managed Streaming for Apache Kafka (Amazon MSK) cung cấp hạ tầng được quản lý cho producer và consumer Apache Kafka. Ứng dụng ghi bản ghi vào partition của topic và đọc theo offset, tiếp tục sử dụng Kafka API và hệ sinh thái Kafka trong khi AWS quản lý hạ tầng dịch vụ bên dưới. MSK phù hợp với pipeline dữ liệu đang dùng Kafka, nhưng thiết kế topic, retention, xác thực và logic xử lý consumer vẫn thuộc trách nhiệm ứng dụng.","Giảm vận hành hạ tầng Kafka và duy trì hệ sinh thái producer/consumer hiện có. Cung cấp lựa chọn quản lý availability, security và capacity phù hợp Kafka workloads.","Ứng dụng ghi vào topic/partition và consumer đọc theo offset; cấu hình network, authentication, retention và quyền. Dùng Flink hoặc ứng dụng Kafka để xử lý dữ liệu.",Đội ngũ đã dùng Kafka APIs/connectors và muốn chuyển sang hạ tầng AWS được quản lý; cần log sự kiện cho nhiều pipeline ML.,"Producer đang phát vào Kafka được cấu hình kết nối MSK; consumer lịch sử ghi S3, consumer real-time tính feature.","Tương thích API không có nghĩa không cần đổi endpoint, authentication hay network. Phải quản lý topic/partition/consumer logic. Không nhầm MSK là engine transform hoặc dịch vụ delivery tự động như Firehose.",Dịch vụ,Domain 1,1.1,Streaming,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/msk/",14/09/2026
Amazon Kinesis Video Streams,"• Video ingestion
• Time-indexed streams
• Secure storage
• Playback / processing","Amazon Kinesis Video Streams is a managed service for ingesting and retaining time-indexed video and other supported media streams from connected devices. Consumer applications access the media for playback, extraction or analysis, making it useful for camera-based ML pipelines. The service handles media ingestion and storage; frame processing, labeling and model training require additional application or ML components.","Amazon Kinesis Video Streams là dịch vụ được quản lý để tiếp nhận và lưu giữ video cùng các luồng media được hỗ trợ từ thiết bị kết nối, có thông tin thời gian để truy xuất. Ứng dụng consumer đọc media để phát lại, trích xuất hoặc phân tích, phù hợp với pipeline ML từ camera. Dịch vụ xử lý ingest và lưu media; trích frame, gán nhãn và training model cần các thành phần ứng dụng hoặc ML bổ sung.","Nhận và lưu luồng video từ thiết bị, giữ thông tin thời gian để phục vụ phát lại hoặc xử lý. Giảm việc tự xây hạ tầng ingest video liên tục.","Producer gửi media vào stream; ứng dụng đọc media qua API được hỗ trợ và chuyển sang pipeline trích frame, phân tích hoặc lưu lâu dài. Dữ liệu video cần protocol/format đúng.",Camera và thiết bị gửi video liên tục; ML cần truy xuất đoạn video theo thời gian hoặc xử lý gần thời gian thực.,"Camera gửi stream; consumer lấy clip theo mốc thời gian, tạo frame và metadata để lưu dataset có nhãn trên S3.","Khác Kinesis Data Streams dùng bản ghi sự kiện tổng quát. Dịch vụ không tự gán nhãn hay train model; cần xét retention, codec, băng thông và chi phí media.",Dịch vụ,Domain 1,1.1,Đa phương thức,Bổ sung Domain 1,https://aws.amazon.com/kinesis/video-streams/,14/09/2026
AWS Glue,"• Serverless ETL
• Schema discovery
• Data Catalog
• Distributed processing
• Integration","AWS Glue is a serverless data integration service for discovering, cataloging, preparing and moving data across supported sources. Its crawlers and Data Catalog describe datasets, while ETL jobs run transformation logic such as cleaning, joins and feature preparation. It reduces cluster administration for data pipelines, although job resources, schemas, data skew and transformation correctness still require configuration and validation.","AWS Glue là dịch vụ tích hợp dữ liệu serverless để khám phá, lập catalog, chuẩn bị và di chuyển dữ liệu giữa các nguồn được hỗ trợ. Crawler và Data Catalog mô tả dataset, còn ETL job thực thi logic biến đổi như làm sạch, join và chuẩn bị feature. Glue giảm công việc quản trị cluster cho pipeline dữ liệu, nhưng tài nguyên job, schema, dữ liệu lệch phân bố và tính đúng đắn của phép biến đổi vẫn cần được cấu hình, kiểm tra.","Serverless ETL giảm quản lý cluster.

Discovery/catalog: crawlers và Data Catalog mô tả nguồn.

Transformation: job xử lý, làm sạch và ghép dữ liệu ở quy mô lớn.

Integration: kết nối S3, warehouse và nguồn được hỗ trợ.",Luồng cơ bản: xác định nguồn → crawler/catalog → định nghĩa job/script → chạy theo lịch/sự kiện/on demand → ghi kết quả. Spark-based jobs phân phối xử lý; worker/DPU và cấu hình job cần phù hợp.,"Large-scale ETL, schema discovery, chuẩn bị feature và merging nhiều nguồn; ưu tiên managed execution thay vì tự cấu hình cluster.","Glue join giao dịch với bảng khách hàng, chuẩn hóa key và loại bản ghi trùng theo event_id; ghi Parquet partition theo ngày lên S3.","Crawler chỉ phát hiện metadata, không làm sạch dữ liệu. Schema drift, skew, shuffle và file nhỏ vẫn có thể làm job chậm. EMR là lựa chọn khi cần kiểm soát runtime sâu; không áp một ngưỡng dung lượng cố định để quyết định.",Dịch vụ,Domain 1,1.1,Truy vấn và ETL,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/glue/
https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM",14/09/2026
AWS Glue Data Catalog,"• Central metadata
• Tables / schemas
• Locations / partitions
• Cross-service discovery","AWS Glue Data Catalog is a centralized metadata repository that describes datasets through databases, tables, schemas, storage locations and partitions. Crawlers, APIs or SQL definitions populate this metadata so services such as Glue and Athena can discover and interpret the same data consistently. The catalog describes data held in source systems; it does not store all source records or independently grant access to them.","AWS Glue Data Catalog là kho metadata tập trung mô tả dataset thông qua database, bảng, schema, vị trí lưu trữ và partition. Crawler, API hoặc định nghĩa SQL tạo metadata để các dịch vụ như Glue, Athena khám phá và diễn giải cùng một nguồn dữ liệu nhất quán. Catalog mô tả dữ liệu đang nằm ở hệ thống nguồn, không lưu thay toàn bộ bản ghi và không tự cấp quyền truy cập dữ liệu đó.","Kho metadata chung giúp tìm hiểu và truy vấn dữ liệu nhất quán giữa Glue, Athena và các dịch vụ tích hợp. Quản lý định nghĩa bảng, schema, vị trí và partition để dữ liệu dễ tìm và tái sử dụng.","Metadata được tạo bằng crawler, API hoặc DDL. Catalog trỏ tới dữ liệu ở S3/nguồn khác; thay đổi schema phải được xử lý đồng bộ với pipeline và công cụ đọc.","Data lake cần discovery và schema-on-read; chia sẻ định nghĩa dataset cho nhóm ETL, analytics và ML.",Crawler đăng ký bảng events với location trên S3; Athena dùng cùng định nghĩa để kiểm tra null và tạo tập feature.,"Catalog lưu metadata, không chứa toàn bộ bản ghi thay nguồn. Có table trong catalog không tự cấp quyền đọc S3; cần IAM/Lake Formation và cập nhật schema/partition phù hợp.",Tính năng,Domain 1,1.1,Catalog,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/glue/latest/dg/catalog-and-crawler.html",14/09/2026
AWS Glue crawlers,"• Automatic discovery
• Schema inference
• Classifiers
• Partition discovery","AWS Glue crawlers inspect configured data sources, use classifiers to infer structure and create or update table metadata in the Glue Data Catalog. They automate schema and partition discovery so downstream ETL and query tools can find and interpret datasets. A crawler detects metadata rather than cleaning records, validating business accuracy or automatically repairing transformation code affected by schema changes.","AWS Glue crawler quét các nguồn được cấu hình, sử dụng classifier để suy luận cấu trúc và tạo hoặc cập nhật metadata bảng trong Glue Data Catalog. Crawler tự động khám phá schema, partition để công cụ ETL và truy vấn downstream tìm, diễn giải được dataset. Crawler phát hiện metadata, không làm sạch bản ghi, xác nhận tính đúng đắn theo nghiệp vụ hay tự sửa mã biến đổi bị ảnh hưởng khi schema thay đổi.","Tự quét nguồn được cấu hình, suy luận schema và tạo/cập nhật metadata trong Data Catalog. Giảm thao tác khai báo thủ công; phát hiện partition và thay đổi cấu trúc khi chạy.","Chọn data source, role và classifier; chạy crawler theo lịch/on demand; kiểm tra bảng và schema suy luận. Cấu hình cách xử lý schema change và grouping table.",Dữ liệu mới hoặc schema thay đổi cần catalog cho Athena/Glue; nhiều prefix hoặc định dạng cần được khám phá.,"Nguồn thêm trường device_type; crawler phát hiện thay đổi, nhóm kỹ thuật kiểm tra ETL để không gây lỗi kiểu dữ liệu.","Inference có thể sai hoặc gom bảng không như mong muốn. Crawler không xác nhận accuracy, loại outlier hay xử lý schema drift thay code; không cần crawl lại toàn bộ nếu chiến lược partition khác phù hợp hơn.",Tính năng,Domain 1,1.1,Catalog,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/glue/latest/dg/catalog-and-crawler.html",14/09/2026
AWS Glue DataBrew,"• Visual data preparation
• No-code recipes
• Data profiling
• Reusable transformations","AWS Glue DataBrew is a visual data preparation tool that lets users profile datasets and define reusable transformation recipes without writing the equivalent transformation code themselves. Recipes can clean, normalize, combine or derive fields and run as jobs to produce prepared datasets. It supports analyst-led preparation while still requiring correct treatment of missing values, data leakage and transformation consistency.","AWS Glue DataBrew là công cụ chuẩn bị dữ liệu trực quan, cho phép phân tích đặc điểm dataset và định nghĩa recipe biến đổi tái sử dụng mà không phải tự viết mã cho những thao tác tương ứng. Recipe có thể làm sạch, chuẩn hóa, kết hợp hoặc tạo trường mới, rồi chạy dưới dạng job để xuất dataset đã chuẩn bị. Công cụ hỗ trợ analyst thao tác dữ liệu nhưng vẫn cần xử lý đúng giá trị thiếu, data leakage và tính nhất quán của phép biến đổi.","Chuẩn bị dữ liệu bằng giao diện trực quan: làm sạch, chuẩn hóa, encode và xử lý giá trị thiếu theo recipe. Profiling giúp hiểu chất lượng trước khi áp dụng; recipe có thể tái sử dụng trong job.

Recipes có thể kết hợp chuẩn hóa tên cột/kiểu dữ liệu, derived features và các thao tác chuẩn bị ML như split, shuffle, bucketing, scaling theo hỗ trợ. Cũng có transformations cho masking/redaction; cần kiểm tra kết quả.","Chọn dataset, khám phá/profile, xây chuỗi bước biến đổi, chạy recipe job để ghi kết quả. Ghi rõ cấu hình và dữ liệu đầu vào để tái lập.","Analyst cần chuẩn bị dữ liệu với ít code, muốn lặp lại cùng quy trình làm sạch trên batch mới; nhiều thao tác biến đổi tiêu chuẩn.

Trong module Validate Data: profile distributions và missing values để khám phá lỗi rồi clean/normalize bằng các bước dựng sẵn. Phân biệt với Data Quality dùng rule kiểm tra liên tục trong pipeline.","Recipe chuẩn hóa tên cột, loại khoảng trắng, định dạng ngày và che dữ liệu nhạy cảm; job ghi bộ dữ liệu đã xử lý vào S3.","DataBrew khác Glue Studio: một bên thiên về recipe chuẩn bị dữ liệu, bên kia thiết kế ETL job. No-code không loại bỏ yêu cầu hiểu leakage, chất lượng dữ liệu, chi phí và quyền nguồn/đích.",Tính năng,Domain 1,1.2,Chuẩn bị dữ liệu,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/glue/features/databrew/
https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM
https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA",14/09/2026
AWS Glue Data Quality,"• Data quality rules
• DQDL
• Rule evaluation
• Quality monitoring","AWS Glue Data Quality evaluates datasets against explicit quality rules, expressed in rulesets such as DQDL, and produces pass/fail results and quality metrics. It can check properties such as completeness, uniqueness and valid values in supported Catalog or ETL workflows. These results can drive alerts, quarantine or pipeline gates, but passing the configured rules does not prove that a dataset is entirely correct or representative.","AWS Glue Data Quality đánh giá dataset theo các quy tắc chất lượng được khai báo trong ruleset, chẳng hạn bằng DQDL, và tạo kết quả đạt/không đạt cùng metric chất lượng. Dịch vụ có thể kiểm tra mức đầy đủ, tính duy nhất và giá trị hợp lệ trong các workflow Catalog hoặc ETL được hỗ trợ. Kết quả có thể dùng để cảnh báo, cách ly dữ liệu hoặc chặn pipeline, nhưng vượt qua các rule đã cấu hình không chứng minh dataset hoàn toàn đúng hay đại diện.","Định nghĩa và đánh giá quy tắc chất lượng dữ liệu, như completeness, uniqueness hoặc giá trị/kiểu hợp lệ. Giúp phát hiện dữ liệu lỗi trước khi đến training và theo dõi biến động chất lượng.

Serverless, rule-based checks ở Data Catalog hoặc Glue ETL; có khả năng gợi ý rule và tích hợp CloudWatch/EventBridge để theo dõi. Gợi ý rule tự động hỗ trợ đường Data Catalog; không mặc định tính năng giống nhau ở hai đường.","Dùng ruleset/DQDL trên dataset hoặc ETL flow, xem kết quả pass/fail và metric. Pipeline quyết định chặn, cách ly hoặc tiếp tục dựa trên kết quả phù hợp mức nghiêm trọng.",Kiểm tra tính toàn vẹn dữ liệu ingest/merge; đặt tiêu chí chấp nhận dữ liệu có thể chạy tự động và lặp lại.,"Yêu cầu customer_id không null, event_id duy nhất, amount không âm; batch sai bị chuyển vùng quarantine để điều tra.","Pass các rule đã viết không chứng minh dữ liệu hoàn toàn đúng hoặc đại diện. Rule phải phản ánh bài toán; không tự sửa mọi lỗi và không thay thế phân tích bias/EDA.

DQ score là tỷ lệ rule pass, không phải tỷ lệ record chắc chắn đúng. Rule recommendation và chi tiết row-level phụ thuộc entry point; docs phân biệt rõ Catalog và ETL. Lưu kết quả và cấu hình fail/quarantine trước training.",Tính năng,Domain 1,1.3,Chất lượng dữ liệu,Skill Builder,"https://aws.amazon.com/glue/features/data-quality/
https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM
https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA
https://docs.aws.amazon.com/glue/latest/dg/glue-data-quality.html",14/09/2026
Amazon EMR,"• Distributed big data
• Spark / Hadoop
• Fine-grained control
• Scalable processing","Amazon EMR is a managed platform for running big-data frameworks such as Apache Spark and Hadoop to process and analyze large datasets. It distributes ETL, joins and aggregations across computing resources, supporting complex feature preparation and existing framework-based applications. Deployment options provide different levels of infrastructure control, from configurable clusters to supported serverless execution, so the operational model depends on the chosen EMR option.","Amazon EMR là nền tảng được quản lý để chạy các framework dữ liệu lớn như Apache Spark, Hadoop nhằm xử lý và phân tích dataset lớn. Dịch vụ phân phối ETL, join và aggregation trên nhiều tài nguyên tính toán, hỗ trợ chuẩn bị feature phức tạp và ứng dụng framework hiện có. Các lựa chọn triển khai cung cấp mức kiểm soát hạ tầng khác nhau, từ cluster có thể cấu hình đến thực thi serverless được hỗ trợ; cách vận hành phụ thuộc lựa chọn EMR.","Chạy các framework big data để ETL và phân tích dữ liệu lớn, tận dụng code/hệ sinh thái hiện có. EMR trên EC2 cho phép kiểm soát node/runtime; EMR Serverless giảm quản lý cluster trong phạm vi framework hỗ trợ.","Phân phối dữ liệu và tác vụ qua worker, thực hiện transform/join/aggregation rồi ghi output như S3. Chọn deployment mode, runtime, tài nguyên và scaling theo job.","Workload Spark/Hadoop phức tạp, cần tuning sâu hoặc dùng framework hiện có; distributed merging và feature computation quy mô lớn.",Spark trên EMR tổng hợp log và bảng giao dịch theo entity; partition/repartition để giảm skew và ghi dữ liệu feature vào S3.,"EMR không chỉ có cluster tự cấu hình: có Serverless và lựa chọn khác. Dataset lớn chưa đủ lý do chọn EMR; cần cân nhắc logic, runtime, đội vận hành, concurrency và chi phí.",Dịch vụ,Domain 1,1.1,Truy vấn và ETL,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/emr/
https://docs.aws.amazon.com/emr/latest/EMR-Serverless-UserGuide/emr-serverless.html
https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM",14/09/2026
AWS DataSync,"• Managed data transfer
• Online migration
• Verification
• Encryption
• Scheduling","AWS DataSync is a managed data-transfer service that moves data between supported on-premises, cloud and AWS storage locations over a network. Users configure source and destination locations and transfer tasks, with an agent where the source requires one. It automates transfer operations, integrity checking and error handling, making repeated file or object transfers easier than maintaining custom copying scripts.","AWS DataSync là dịch vụ truyền dữ liệu được quản lý, chuyển dữ liệu qua mạng giữa các vị trí lưu trữ tại chỗ, trên cloud và AWS được hỗ trợ. Người dùng cấu hình location nguồn, đích và transfer task; triển khai agent nếu loại nguồn yêu cầu. Dịch vụ tự động hóa việc truyền, kiểm tra toàn vẹn và xử lý lỗi, giúp thực hiện các đợt chuyển tệp hoặc object lặp lại thuận tiện hơn so với duy trì script sao chép riêng.","Tự động chuyển dữ liệu qua mạng, hỗ trợ kiểm tra toàn vẹn, mã hóa và xử lý lỗi/retry theo task. Giảm công viết script cho việc chuyển nhiều file/object và đồng bộ định kỳ.","Cấu hình source/destination location và task; triển khai agent nếu loại nguồn yêu cầu. Chạy task, kiểm tra transfer log/verification và quyền hai phía; hỗ trợ các đích S3/EFS/FSx phù hợp.",Network-based migration từ on-premises/NAS vào AWS hoặc chuyển giữa storage được hỗ trợ; recurring transfers và nạp dataset ban đầu.,Chuyển kho ảnh từ NFS nội bộ lên S3 ban đêm; kiểm tra task result rồi mới cho pipeline xử lý dataset mới.,"DataSync chuyển dữ liệu, không thực hiện feature engineering. Tốc độ bị giới hạn bởi nguồn/đích/mạng; không tự vượt băng thông vật lý. Khác DMS chuyên database replication và Snow dùng vận chuyển thiết bị.",Dịch vụ,Domain 1,1.1,Chuyển dữ liệu,Bổ sung Domain 1,https://aws.amazon.com/datasync/,14/09/2026
AWS Database Migration Service (DMS),"• Database migration
• Full load
• Change data capture (CDC)
• Ongoing replication","AWS Database Migration Service (AWS DMS) migrates and replicates data between supported database endpoints. A task can perform an initial full load, capture ongoing changes through CDC, or combine both so a target remains updated after the first copy. It is useful for feeding analytical or ML data stores from operational databases, provided source logs, permissions and schema mappings are configured correctly.","AWS Database Migration Service (AWS DMS) di chuyển và sao chép dữ liệu giữa các database endpoint được hỗ trợ. Task có thể nạp toàn bộ dữ liệu ban đầu, thu nhận thay đổi liên tục bằng CDC hoặc kết hợp cả hai để đích tiếp tục được cập nhật sau lần sao chép đầu. Dịch vụ hữu ích khi đưa dữ liệu từ database vận hành sang kho phân tích hoặc ML, với điều kiện transaction log nguồn, quyền truy cập và ánh xạ schema được cấu hình đúng.","Di chuyển dữ liệu database được hỗ trợ và tiếp tục sao chép thay đổi qua CDC. Giảm nhu cầu trích xuất toàn bộ lại, giúp data lake nhận thay đổi mới sau lần nạp ban đầu.","Cấu hình source/target endpoint, replication và task; chọn full load, CDC hoặc kết hợp. Cần quyền/transaction logs/schema mapping đúng; theo dõi replication latency và lỗi bảng.","Database source được hỗ trợ cần di chuyển một lần hoặc đồng bộ liên tục ra target phù hợp, gồm S3 theo cấu hình.",Full load PostgreSQL vào S3 rồi áp dụng CDC; Glue chuẩn hóa các change record thành snapshot/bảng feature phục vụ training.,DMS không thay engine ETL tổng quát. Source/target và format đầu ra phụ thuộc endpoint; không mặc định xuất SQL/JSON/XML tùy ý. DynamoDB làm target không đồng nghĩa làm source. CDC cần handling update/delete và consistency.,Dịch vụ,Domain 1,1.1,Chuyển dữ liệu,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/dms/
https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Introduction.Sources.html",14/09/2026
AWS Storage Gateway,"• Hybrid storage
• Local access / cache
• AWS-backed storage
• File / volume / tape","AWS Storage Gateway is a hybrid storage service that connects on-premises applications to AWS storage through supported file, volume or virtual-tape interfaces. A deployed gateway provides the interface and, depending on its type, local caching or buffering while data is stored or backed up in AWS. It suits existing applications that need cloud-backed storage without immediately replacing their familiar storage protocols.","AWS Storage Gateway là dịch vụ lưu trữ hybrid kết nối ứng dụng tại chỗ với storage AWS qua các giao diện tệp, volume hoặc băng từ ảo được hỗ trợ. Gateway triển khai tại môi trường ứng dụng cung cấp giao diện và, tùy loại, bộ nhớ đệm hoặc vùng đệm cục bộ trong khi dữ liệu được lưu hay sao lưu vào AWS. Dịch vụ phù hợp với ứng dụng hiện có cần lưu trữ dựa trên cloud mà chưa thay ngay giao thức lưu trữ quen thuộc.","Kết nối ứng dụng tại chỗ với storage AWS qua giao diện phù hợp loại gateway. Cache cục bộ có thể giúp ứng dụng truy cập dữ liệu đang dùng, trong khi dữ liệu được lưu hoặc sao lưu vào AWS.","Chọn File, Volume hoặc Tape Gateway theo giao thức và mục tiêu; triển khai gateway, cấp cache/network và quản lý đồng bộ đến dịch vụ đích.",Ứng dụng legacy vẫn chạy on-premises nhưng cần storage/backup trên AWS; muốn thay đổi cách lưu mà giữ giao diện ứng dụng quen thuộc.,Ứng dụng ghi file vào gateway được cấu hình S3; pipeline ML xử lý dữ liệu khi đã được lưu/đồng bộ đúng vào bucket.,"Khác DataSync là task chuyển dữ liệu; Gateway phục vụ giao diện hybrid đang hoạt động. Cache không phải toàn bộ bản sao bền vững; cần hiểu write path, consistency, failure và phiên bản/gateway còn được hỗ trợ.",Dịch vụ,Domain 1,1.1,Chuyển dữ liệu,Bổ sung Domain 1,https://aws.amazon.com/storagegateway/,14/09/2026
Amazon S3 Transfer Acceleration,"• Edge locations
• Long-distance transfer
• S3 acceleration endpoint
• Network optimization","Amazon S3 Transfer Acceleration is an S3 feature that routes eligible bucket transfers through AWS edge locations and the AWS network using an accelerated endpoint. It can improve transfers over long geographic distances when the network path is a bottleneck, while applications still upload or download S3 objects. Its benefit should be measured for the actual client location, object sizes and transfer costs.","Amazon S3 Transfer Acceleration là tính năng S3 định tuyến hoạt động truyền dữ liệu của bucket đủ điều kiện qua AWS edge location và mạng AWS bằng accelerate endpoint. Tính năng có thể cải thiện tốc độ truyền khoảng cách địa lý xa khi đường mạng là điểm nghẽn, trong khi ứng dụng vẫn upload hoặc download object S3. Lợi ích cần được đo với vị trí client, kích thước object và chi phí truyền thực tế.","Tối ưu đường truyền dữ liệu đến/đi từ S3 qua edge location và mạng AWS, có thể cải thiện upload lớn từ nơi xa bucket. Hữu ích khi khoảng cách/đường Internet là nút thắt.",Bật Transfer Acceleration trên bucket đủ điều kiện và dùng accelerate endpoint; đo với workload/địa điểm thực tế trước khi triển khai rộng.,Người dùng hoặc nguồn ở nhiều khu vực cần chuyển object lớn lên một S3 bucket; khoảng cách làm upload chậm.,Nguồn thu thập dữ liệu ở xa Region đích đo thời gian upload bằng endpoint thường và accelerate rồi chọn phương án phù hợp.,"Không làm tăng băng thông đường truyền của nguồn. Có chi phí bổ sung và điều kiện bucket; không mặc định nhanh hơn mọi đường truyền, đặc biệt nguồn gần Region. Khác DataSync là công cụ quản lý transfer task.",Tính năng,Domain 1,1.1,Chuyển dữ liệu,Bổ sung Domain 1,https://docs.aws.amazon.com/AmazonS3/latest/userguide/transfer-acceleration.html,14/09/2026
