MLA-C01 • DOMAIN 4,THUẬT NGỮ CHI TIẾT,Monitor Model Inference • Optimize Costs and Performance • Secure ML and AI Workloads,,,,,,,,,,,,,
145 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 4.1 + 4.2 + 4.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / Ví dụ / Điều kiện,3 module • Có phần mở rộng GenAI,,,,,,,,,,,,,
Đối chiếu: 16/09/2026,Nguồn: O • Có ghi phạm vi,Đối chiếu MLA-C01 và AWS docs; có ghi giới hạn và trạng thái dịch vụ.,,,,,,,,,,,,,
Key / Thuật ngữ,Keyword cần nhớ,Nghĩa tiếng Việt,Definition (EN),Định nghĩa (VI),Cơ chế / Giải thích chi tiết,Ví dụ / Công thức,Vai trò / Khi áp dụng,Điểm dễ nhầm / Điều kiện,Dịch vụ liên quan,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Data capture,production inputs • outputs • inference ID,Ghi nhận dữ liệu suy luận,"Data capture records the inputs a model receives and the predictions it returns in production, together with metadata needed for later analysis. Stored capture data supports distribution checks, delayed-label evaluation, and investigation of which model version produced an outcome.","Data capture ghi lại input mà model nhận và prediction trả về trong production, cùng metadata cần cho phân tích về sau. Dữ liệu capture được lưu để kiểm tra phân phối, đánh giá với nhãn đến muộn và điều tra phiên bản model đã tạo kết quả.","Lưu input/output, ID duy nhất, timestamp và version/variant. Chọn sampling, retention, quyền truy cập phù hợp; kiểm tra capture có thực sự tạo dữ liệu trước khi tin dashboard.",Ticket ID 123 → predicted team A → sau 2 ngày nhãn thật team B.,Là đầu vào của scheduled comparison và replay phục vụ điều tra.,"Capture là thu thập, không tự tính accuracy. Mẫu capture lệch làm kết quả monitoring lệch.",SageMaker Data Capture; S3,Domain 4,4.1,Vòng monitoring,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Ground truth and delayed labels,true outcome • delayed feedback • join by ID,Nhãn thực tế và nhãn đến trễ,"Ground truth is the observed label or outcome used to evaluate a prediction. When outcomes become known after inference, a delayed-label pipeline must retain predictions and match later labels to the correct records before computing model quality; the evaluation window must reflect label availability.","Ground truth là nhãn hoặc kết quả quan sát thực tế dùng để đánh giá prediction. Khi kết quả chỉ biết sau inference, pipeline nhãn trễ phải giữ prediction và ghép nhãn về sau đúng bản ghi trước khi tính chất lượng model; cửa sổ đánh giá phải phản ánh thời điểm nhãn có đủ.","Join theo unique inference ID; kiểm tra duplicate, unmatched records, label coverage và delay. Không gán nhãn chưa về thành negative; lưu prediction gốc để tránh đánh giá nhầm model mới.",Nhãn ticket chỉ có khi nhân viên xử lý xong; tính accuracy hằng ngày trên cohort đủ nhãn.,"Đo chất lượng thực tế cho fraud, churn, ticket routing và tác vụ có phản hồi muộn.",Ground truth không đồng nghĩa bắt buộc dùng dịch vụ SageMaker Ground Truth; đây là khái niệm nhãn đúng.,S3; scheduled evaluation; CloudWatch,Domain 4,4.1,Vòng monitoring,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Monitoring schedule and observation window,cadence • recent data • label lag,Lịch chạy và cửa sổ quan sát,"A monitoring schedule determines when analysis runs, while an observation window determines which captured records the analysis examines. Both must reflect traffic volume, drift risk, and label delay so that each comparison uses sufficient and appropriate evidence without wasting computation or mixing incompatible time periods.","Lịch monitoring xác định khi nào chạy phân tích, còn cửa sổ quan sát xác định các bản ghi capture được phân tích. Cả hai phải phản ánh lượng traffic, rủi ro drift và độ trễ nhãn để mỗi phép so dùng đủ bằng chứng phù hợp, không lãng phí compute hoặc trộn các thời kỳ không tương thích.","Cadence không nhất thiết giống nhau cho mọi monitor. Chọn hourly cho input, daily cho accuracy đủ nhãn, monthly cho bias nếu phù hợp rủi ro; các mốc trong walkthrough là ví dụ.","Data drift hourly, labeled accuracy daily, bias monthly trong ví dụ support platform.","Thiết kế trade-off phát hiện sớm, độ ổn định và chi phí.",Job chạy thành công nhưng không có đủ bản ghi không đồng nghĩa model đạt; cần cảnh báo freshness/coverage.,EventBridge; Model Monitor; CloudWatch,Domain 4,4.1,Vòng monitoring,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Data validation and quality statistics,schema • type • range • completeness • outlier,Kiểm tra tính hợp lệ và thống kê chất lượng,"Data validation checks whether records satisfy the expected schema, types, and business constraints before they reach the model. Quality statistics summarize missingness, ranges, variability, and unusual observations across a batch, enabling systematic comparison with the reference rather than relying on isolated examples.","Data validation kiểm tra bản ghi có đúng schema, kiểu dữ liệu và ràng buộc nghiệp vụ trước khi vào model hay không. Thống kê chất lượng tổng hợp mức thiếu, khoảng giá trị, độ biến động và điểm bất thường của một batch, giúp so sánh có hệ thống với dữ liệu tham chiếu.","Validate ở từng stage, theo dõi record count, missing rate, mean, standard deviation, outlier count và distribution. Lưu trường/constraint bị vi phạm để truy upstream.",Age là string thay vì numeric; record count giảm 90% sau lần deploy form.,Chặn lỗi data processing và phân biệt lỗi pipeline với thay đổi dân số hợp lệ.,Outlier có thể là trường hợp thật có giá trị; không xóa tự động mọi điểm hiếm.,Data pipeline; CloudWatch custom metrics,Domain 4,4.1,Dữ liệu và chất lượng,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Kolmogorov–Smirnov test (KS),distribution comparison • empirical CDF,Kiểm định so sánh phân phối KS,"The two-sample Kolmogorov–Smirnov test compares empirical cumulative distributions of a numeric feature in two samples. It provides evidence that the samples may come from different distributions and can support data drift detection when interpreted with sample size, effect size, and domain relevance.","Kiểm định Kolmogorov–Smirnov hai mẫu so sánh hàm phân phối tích lũy thực nghiệm của một feature số giữa hai mẫu. Nó cung cấp bằng chứng rằng hai mẫu có thể đến từ phân phối khác nhau, hỗ trợ phát hiện data drift khi xét cùng cỡ mẫu, mức thay đổi và ý nghĩa nghiệp vụ.","Tính khoảng cách lớn nhất giữa hai empirical CDF; kiểm định từng feature phù hợp. Bài học nêu KS như một kỹ thuật có thể dùng, không yêu cầu mọi monitor phải dùng KS.",D = sup_x |F_reference(x) − F_current(x)|.,So training/reference với production cho feature liên tục.,p-value nhỏ không tự chỉ ra tác động kinh doanh hoặc accuracy giảm; dữ liệu rời rạc/categorical cần cách kiểm tra phù hợp.,Custom drift analysis; CloudWatch,Domain 4,4.1,Dữ liệu và chất lượng,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Classification quality metrics,accuracy • precision • recall • F1 • ROC-AUC,Metric chất lượng phân loại,"Classification quality metrics quantify different aspects of agreement between predicted and true classes. Accuracy measures overall correctness, precision measures the reliability of positive predictions, recall measures coverage of actual positives, and F1 balances precision and recall; ROC-AUC compares ranking behavior across decision thresholds.",Metric phân loại đo các khía cạnh khác nhau của sự khớp giữa nhãn dự đoán và nhãn thật. Accuracy đo tỷ lệ đúng tổng; precision đo độ đáng tin của prediction dương; recall đo khả năng tìm đủ ca dương thật; F1 cân bằng precision và recall; ROC-AUC đánh giá khả năng xếp hạng qua nhiều threshold.,"Đọc TP/FP/FN/TN; chọn metric theo chi phí sai lầm, mất cân bằng lớp và mục tiêu. Duy trì cùng quy ước positive class, threshold và aggregation khi so theo thời gian.",Precision=TP/(TP+FP); Recall=TP/(TP+FN); F1=2PR/(P+R); Accuracy=(TP+TN)/N.,Spam/fraud/routing: theo dõi metric tổng và theo segment; FPR/FNR giúp thấy loại lỗi tăng.,Accuracy cao trên lớp majority không bảo đảm phát hiện fraud tốt; AUC không thay thế chất lượng ở threshold vận hành.,CloudWatch custom metrics; Model Monitor,Domain 4,4.1,Dữ liệu và chất lượng,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Confidence threshold and review queue,low confidence • flag for review • calibration,Ngưỡng độ tin cậy và hàng đợi review,"A confidence threshold identifies predictions whose model-reported certainty does not meet an application's acceptance rule. These records can be flagged for human review or a fallback path, but confidence is an internal model signal and must be checked against observed outcomes rather than treated as guaranteed correctness.","Confidence threshold xác định prediction có mức chắc chắn do model báo không đạt quy tắc chấp nhận của ứng dụng. Có thể chuyển chúng sang review hoặc fallback; tuy nhiên confidence là tín hiệu nội tại của model, cần đối chiếu kết quả thật và không được coi là bảo đảm dự đoán đúng.","Thiết lập ngưỡng theo validation và rủi ro; theo dõi tỷ lệ flagged, kết quả review và calibration. Một số bài toán cũng cần kiểm tra confidence cao bất thường.","Ticket max class probability <0.6 được review; 0.6 là ví dụ, không phải ngưỡng AWS.",Giảm tự động xử lý trường hợp không chắc chắn và lấy feedback chất lượng.,Model overconfident vẫn sai; threshold không thay thế labeled metrics hoặc drift detection.,Application review workflow; CloudWatch,Domain 4,4.1,Dữ liệu và chất lượng,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Data slicing and subgroup monitoring,aggregate hides failure • segment metrics,Giám sát theo lát cắt dữ liệu,"Data slicing evaluates quality within meaningful subsets such as product categories, regions, or customer tiers. It reveals localized degradation or disparities that aggregate metrics can conceal, allowing investigators to distinguish a model-wide problem from a specific population, integration, or business change.","Data slicing đánh giá chất lượng trong các tập con có ý nghĩa như loại sản phẩm, khu vực hoặc hạng khách hàng. Nó phát hiện suy giảm cục bộ hoặc chênh lệch bị metric tổng che khuất, giúp phân biệt vấn đề toàn model với vấn đề của một quần thể, tích hợp hay thay đổi nghiệp vụ.","Theo dõi metric cùng sample count mỗi slice; chọn slice từ risk/use case, so baseline tương ứng. Tránh kết luận từ nhóm quá ít nhãn.",Accuracy chung 92% nhưng nhóm sản phẩm mới chỉ 65%.,Root cause accuracy drop; fairness review; kiểm tra edge cases.,"Khác biệt metric giữa nhóm chưa tự chứng minh phân biệt đối xử; cần ngữ cảnh, coverage và uncertainty.",CloudWatch; Clarify; evaluation jobs,Domain 4,4.1,Dữ liệu và chất lượng,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Fairness metrics — disparate impact and equal opportunity,selection-rate ratio • TPR gap,Metric chênh lệch kết quả và cơ hội,"Fairness metrics measure a chosen form of disparity between groups. Disparate impact commonly compares positive-selection rates as a ratio, while equal opportunity compares true-positive rates for people with a positive true outcome; these answer different fairness questions and require explicit group and label definitions.","Fairness metric đo một dạng chênh lệch đã chọn giữa các nhóm. Disparate impact thường so tỷ lệ được chọn dương bằng tỷ số; equal opportunity so true-positive rate trong những người có kết quả thật dương. Hai metric trả lời câu hỏi công bằng khác nhau và cần định nghĩa nhóm, nhãn rõ ràng.",So baseline và threshold do chính sách/use case chọn; tính theo cùng cửa sổ. Equal opportunity cần nhãn thật; lựa chọn metric phải phù hợp tác động và dữ liệu.,DI = selection rate nhóm A / nhóm B; EOD = TPR_A − TPR_B với chiều so được ghi rõ.,Theo dõi bias drift và kiểm tra sau mitigation.,Không có một fairness metric hay cutoff pháp lý áp dụng chung cho mọi hệ thống. Tỷ lệ số lượng nhóm không phải metric chất lượng dự đoán.,SageMaker Clarify; custom bias analysis,Domain 4,4.1,Dữ liệu và chất lượng,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
SHAP feature attribution,Shapley values • local explanation • global aggregate,Giải thích đóng góp feature bằng SHAP,"SHAP assigns feature contributions to a prediction relative to a reference expectation, using principles from Shapley values. Local explanations can be aggregated to characterize overall feature influence, and comparing those aggregates across reference and production data supports attribution-drift monitoring.","SHAP gán mức đóng góp của feature vào prediction so với kỳ vọng tham chiếu, dựa trên nguyên tắc Shapley values. Giải thích cho từng prediction có thể tổng hợp để mô tả ảnh hưởng feature toàn cục; so các thống kê đó giữa reference và production hỗ trợ giám sát attribution drift.","Giữ background/reference, model version, preprocessing và cách aggregate nhất quán; so magnitude/ranking. Signed contribution khác mean absolute importance.","Feature account age trước ảnh hưởng mạnh, sau monthly price trở thành quan trọng nhất.",Phát hiện logic sử dụng feature thay đổi trong quan sát production.,Attribution không chứng minh quan hệ nhân quả; feature tương quan và reference choice ảnh hưởng cách diễn giải.,SageMaker Clarify,Domain 4,4.1,Dữ liệu và chất lượng,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
CloudWatch custom model metrics,publish computed quality • namespace • dimensions,Metric chất lượng model do ứng dụng xuất bản,"A custom model metric is an application-computed quality or behavior measurement published to CloudWatch for time-series tracking, dashboards, and alarms. It lets model accuracy, drift scores, or escalation rates be monitored alongside operational metrics, provided the application first computes the signal from appropriate evidence.","Custom model metric là số đo chất lượng hoặc hành vi do ứng dụng tính rồi xuất bản lên CloudWatch để theo dõi chuỗi thời gian, dashboard và alarm. Nó cho phép giám sát accuracy, drift score hoặc escalation rate cạnh metric vận hành, với điều kiện ứng dụng đã tính tín hiệu từ bằng chứng phù hợp.","Chọn namespace/name/dimensions, đơn vị, timestamp và statistic đúng; lưu model version/segment ở cardinality có kiểm soát; test alarm và đường thông báo.",Daily labeled accuracy = 0.87 → custom metric → alarm threshold 0.90.,Model quality và hành vi nghiệp vụ không có sẵn trong metric hạ tầng.,CloudWatch không tự tìm ground truth để tính accuracy. 0.9 và 90 phải nhất quán đơn vị.,Amazon CloudWatch,Domain 4,4.1,Alarm và anomaly,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
