MLA-C01 • DOMAIN 2,THUẬT NGỮ & KEYWORD,Choose • Train • Customize • Evaluate,,,,,,,,,,,,,
164 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 2.1–2.3 • Mới: 2.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / ví dụ / điều kiện,Analyze / Evaluate: +42 mục • mở rộng 13,,,,,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: O • Có ghi phạm vi,Đã tổng hợp bốn module D2 theo nguồn đã mở.,,,,,,,,,,,,,
Key / Thuật ngữ,Keyword cần nhớ,Nghĩa tiếng Việt,Definition (EN),Định nghĩa (VI),Cơ chế / Giải thích chi tiết,Ví dụ / Công thức,Vai trò / Khi áp dụng,Điểm dễ nhầm / Điều kiện,Dịch vụ liên quan,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Transfer learning,"• Reuse learned features
• Adapt to target task
• Labeled target data",Học chuyển giao,Transfer learning reuses knowledge learned on one task or dataset to improve learning on a target task.,Tái sử dụng tri thức/đặc trưng đã học để hỗ trợ nhiệm vụ đích.,"Có thể dùng backbone làm feature extractor hoặc fine-tune một phần/toàn bộ tham số. Chọn mức thích nghi theo data, task similarity và compute; đo với baseline thay vì mặc định hiệu quả.",Walkthrough: fine-tune pretrained classifier với 50.000 ảnh đã gán nhãn thay vì tự xây model từ đầu.,Dữ liệu đích có nhãn nhưng muốn tiết kiệm thời gian và tận dụng biểu diễn đã học.,"50.000 là số trong tình huống, không ngưỡng đảm bảo đủ dữ liệu hay performance. Domain mismatch có thể làm transfer kém; cần kiểm định độc lập.",SageMaker AI; JumpStart,Domain 2,2.1,Model adaptation,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/cds/CONTENT_PR341MXB8A_001.000.000/assets/transcripts/B3UJH1XYGG.txt",14/09/2026
Foundation model (FM),"• Broad pre-training
• Multiple tasks
• Adaptable base",Mô hình nền tảng,A foundation model is a broadly pretrained model that can be adapted to many downstream tasks.,Model được pretrain trên dữ liệu rộng và có thể thích nghi với nhiều nhiệm vụ phía sau.,"Dùng prompting hoặc RAG mà không đổi weights; một số model hỗ trợ fine-tuning/continued pre-training. Lựa chọn theo task, modality, chất lượng thực đo, ngôn ngữ, context, cost và hỗ trợ customization.",Một text FM dùng cho tóm tắt và QA; embedding FM chuyển dữ liệu thành vector cho retrieval.,Khi cần năng lực tổng quát sẵn có và giảm công huấn luyện từ đầu.,"Không phải mọi FM là chatbot, mọi model đều multimodal hoặc đều hỗ trợ fine-tuning. “Cùng nhà cung cấp” không bảo đảm cùng tính năng.",Amazon Bedrock; JumpStart,Domain 2,2.1,Foundation models,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Multimodal model,"• Multiple input types
• Verify output modality
• Model-specific support",Mô hình đa phương thức,"A multimodal model processes or generates more than one type of data, depending on its supported interfaces.",Model xử lý hoặc sinh nhiều loại dữ liệu theo khả năng cụ thể của nó.,"Kiểm tra riêng input modalities và output modalities: model nhận ảnh rồi trả text khác model tạo ảnh. Dùng model card để kiểm tra size, format, context và languages.",Đặt câu hỏi về ảnh cần image-input reasoning; text-to-image cần image-generation capability.,"Bước lọc đầu tiên của FM selection khi task liên quan text, image, video hoặc audio.",Không suy text+image input thì image output cũng được hỗ trợ. Tên family như Nova bao gồm nhiều model có khả năng khác nhau.,Amazon Bedrock model catalog,Domain 2,2.1,Model criteria,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Prompt engineering,"• Instructions + examples
• No weight updates
• Lightest adaptation",Thiết kế prompt,"Prompt engineering shapes a model's task behavior through instructions, context, examples, and requested output format.","Điều chỉnh hành vi bằng hướng dẫn, ngữ cảnh, ví dụ và định dạng đầu ra trong prompt.","Đặt mục tiêu rõ, format/rubric và ví dụ cần thiết; thử trên eval set, quản lý version và bỏ token thừa. Đây thường là cách thử đầu tiên khi base model đã có năng lực.","Yêu cầu phân loại ticket thành ba nhãn và trả JSON; thử prompt ngắn trước khi quyết định fine-tune.
Walkthrough brand voice: prompt đạt 70% trước các bước nâng cấp; con số minh họa được đo trong tình huống của bài.","Task có thể đạt yêu cầu bằng instruction/context, cần triển khai nhanh hoặc thường thay đổi business rules.
Module Customize nhấn mạnh bắt đầu với phương pháp nhẹ và chỉ tăng mức can thiệp khi evaluation cho thấy chưa đủ.",Prompt không cập nhật weights và không tạo tri thức đáng tin về dữ liệu riêng chưa được cung cấp. Instructions trong tài liệu retrieval không tự là system policy.,Amazon Bedrock; Prompt management,Domain 2,2.1,Customization,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD",15/09/2026
Few-shot prompting,"• Examples in context
• No training job
• Token overhead",Đưa một số ví dụ vào prompt,Few-shot prompting supplies example inputs and desired outputs in the inference prompt to guide the model.,Đưa một số cặp input/output mẫu vào prompt lúc inference để hướng model làm theo.,"Chọn ví dụ đại diện và format nhất quán; bao phủ case dễ nhầm nhưng giữ prompt gọn. Model dùng ngữ cảnh tạm thời, không thay đổi weights như fine-tuning.","Đưa ba ticket và category đúng vào prompt rồi yêu cầu phân loại ticket mới.
Walkthrough: few-shot tăng brand consistency từ 70% lên 85% nhưng dùng thêm prompt tokens; không là mức cải thiện mặc định.",Cần cải thiện task format hoặc tiêu chí bằng vài ví dụ trước khi thu thập dữ liệu fine-tuning lớn.,"Ví dụ trong prompt tiêu tốn context/token mỗi request, trừ phần có thể cache. Không gọi đây là model đã được train lại.",Bedrock foundation models,Domain 2,2.1,Customization,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD",15/09/2026
RAG as a modeling approach,"• Retrieve current facts
• Ground answers
• No weight updates",RAG dưới góc độ lựa chọn giải pháp,RAG retrieves external information at request time and supplies it as context for a generative model.,Lấy thông tin bên ngoài ở thời điểm yêu cầu rồi đưa vào context để model sinh trả lời.,"Tách knowledge store và model weights: cập nhật/sync nguồn thay vì retrain khi facts đổi. Chất lượng phụ thuộc retrieval, nguồn, prompt và generation; theo dõi nguồn trích dẫn.
Module Customize: ưu tiên RAG cho specific/current facts; chẩn đoán chunking, embedding, k/threshold và ranking trước khi đổi generator.","Nhân viên hỏi policy nội bộ thay đổi thường xuyên; model viết tốt nhưng thiếu facts riêng → RAG.
Walkthrough thử retrieval style examples và đạt 90% trước fine-tuning; đây là kết quả riêng của ví dụ.","Cần câu trả lời bám tài liệu cụ thể, mới và có thể truy nguồn; xem D2-P05.",RAG không đảm bảo mọi câu trả lời đúng; source lỗi hoặc retriever bỏ sót vẫn gây sai. Nó không tự tạo kỹ năng hành động hay thay đổi phong cách bền vững trong weights.,Bedrock Knowledge Bases; Vector stores,Domain 2,2.1,RAG selection,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD",15/09/2026
Instruction fine-tuning,"• Prompt-response pairs
• Task format / style
• Behavior adaptation",Tinh chỉnh theo chỉ dẫn,Instruction fine-tuning trains a pretrained model on examples of instructions and desired responses.,Huấn luyện tiếp model bằng các cặp chỉ dẫn và phản hồi mong muốn.,"Dùng labeled input-output pairs để học task, style hoặc format nhất quán khi prompting chưa đủ. Có thể thực hiện bằng full tuning hoặc phương pháp PEFT nếu nền tảng/model hỗ trợ.","Phân loại ticket theo taxonomy riêng hoặc trả lời đúng cấu trúc nghiệp vụ qua nhiều input.
Walkthrough dùng 2.000 product-description pairs để học brand voice, báo ≥95% consistency; phải xem đây là ví dụ, không ngưỡng tối thiểu/quality guarantee.","Có examples chất lượng, mục tiêu hành vi rõ và evidence cho thấy lợi ích đủ bù công sức/data/cost.
Khi triển khai Task 2.2, đo retention và dùng low LR/PEFT/data mixing nếu phù hợp.","Instruction tuning mô tả mục tiêu/dữ liệu; full/PEFT mô tả phạm vi tham số cập nhật, không phải ba lựa chọn loại trừ nhau. Không chọn chỉ để cập nhật facts đổi hàng ngày.",Bedrock customization; SageMaker AI,Domain 2,2.1,Fine-tuning strategy,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD",15/09/2026
Full fine-tuning,"• Update all weights
• Maximum parameter freedom
• High compute / memory",Tinh chỉnh toàn bộ tham số,Full fine-tuning updates all model parameters using the target training objective and dataset.,Cập nhật toàn bộ tham số model bằng dữ liệu và mục tiêu huấn luyện đích.,"Có độ tự do lớn để thích nghi sâu nhưng cần memory/compute, dữ liệu và kiểm định phù hợp. Cân nhắc khi cách nhẹ hơn không đạt yêu cầu và ngân sách cho phép.
Trong module Customize, full tuning với updates quá mạnh trên corpus hẹp được đối chiếu với LoRA giữ base frozen khi kiểm soát catastrophic forgetting.","Task khác biệt đáng kể với base model, PEFT chưa đạt quality bar sau thử nghiệm → cân nhắc full tuning.","Cần thay đổi sâu và có đội ngũ, dữ liệu, ngân sách tương ứng; lựa chọn chiến lược ở Task 2.1, thực thi ở 2.2.",Không đảm bảo luôn tốt hơn PEFT; có nguy cơ overfitting/catastrophic forgetting. Full model artifact và serving cost vẫn cần tính vào tổng chi phí.,SageMaker AI; Supported customization jobs,Domain 2,2.1,Fine-tuning strategy,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD",15/09/2026
Parameter-efficient fine-tuning (PEFT),"• Train small parameter subset
• Freeze base
• Lower adaptation cost",Tinh chỉnh hiệu quả tham số,PEFT adapts a model by training a small portion of parameters or additional adaptation parameters rather than all base weights.,Thích nghi model bằng một phần nhỏ tham số hoặc tham số bổ sung thay vì cập nhật toàn bộ base weights.,Giảm trainable parameters và nhu cầu optimizer state so với full tuning; nhiều phương pháp giữ phần lớn base frozen. LoRA là ví dụ; artifact adaptation có thể nhỏ hơn nhưng vẫn cần base model khi chạy.,"Cần format riêng từ labeled examples, compute hạn chế và prompting không đạt yêu cầu → thử PEFT trên model/tool hỗ trợ.","Một hướng fine-tuning nên cân nhắc trước full tuning khi muốn giảm time/compute và lưu nhiều bản adaptation.
Module mới dùng PEFT/LoRA như một thành phần hạn chế catastrophic forgetting, kết hợp low learning rate và general examples.","PEFT không có nghĩa không cần dữ liệu chất lượng hay inference luôn rẻ hơn. Không phải mọi PEFT chỉ thêm parameters; khả năng cụ thể tùy phương pháp/platform.
Giảm số tham số cập nhật không tự bảo đảm mọi kỹ năng nền được giữ nguyên; phải đo retention.",SageMaker AI; PEFT libraries,Domain 2,2.1,Fine-tuning strategy,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://huggingface.co/docs/peft/package_reference/lora
https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD",15/09/2026
Low-Rank Adaptation (LoRA),"• Low-rank update
• Frozen base weights
• Small adapters
• LOW ADAPTATION COST
• RETENTION MUST BE MEASURED",Thích nghi hạng thấp,LoRA represents selected weight updates with trainable low-rank matrices while keeping the original weights frozen.,"Biểu diễn phần cập nhật ở các lớp được chọn bằng ma trận hạng thấp có thể học, giữ nguyên weights gốc.","Ý tưởng W'=W+ΔW với ΔW=BA; chọn rank r nhỏ hơn kích thước weights gốc làm giảm số parameters cần train. Base model vẫn tham gia forward/backward dù không cập nhật weights của nó.
Lợi ích cần nhớ: ít trainable parameters, nhỏ hơn về optimizer state/adapter storage; vẫn cần base model khi inference.",Một tổ chức giữ chung base và các adapter theo task; chọn rank/layers và đánh giá chất lượng trên dữ liệu giữ riêng.,Khi model cần adaptation nhưng hạn chế compute/memory; chiến lược thường dùng trong PEFT.,"Adapter nhỏ không có nghĩa toàn bộ model nhỏ. Có thể merge ở implementation phù hợp; không suy luôn giảm serving latency. Rank quá nhỏ/lớn đều cần đánh giá.
Frozen base không bảo đảm adapted behavior không quên. Walkthrough chọn LoRA + low LR + general examples; không coi LoRA là phương pháp chữa quên tuyệt đối.",SageMaker AI; LoRA implementation,Domain 2,2.1,Fine-tuning strategy,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://huggingface.co/docs/peft/package_reference/lora
https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD
https://huggingface.co/docs/peft/main/en/conceptual_guides/lora",15/09/2026
Continued pre-training (CPT),"• Unlabeled domain corpus
• Vocabulary / patterns
• Continued base training",Tiếp tục tiền huấn luyện,Continued pre-training further trains a base model on additional unlabelled domain data using a pretraining-style objective.,Tiếp tục train model trên corpus miền chưa gán nhãn theo mục tiêu kiểu pre-training.,"Hữu ích để thích nghi vocabulary/patterns miền chuyên sâu; sau đó có thể vẫn cần instruction tuning cho format nhiệm vụ. Data volume, cleaning và preservation of general skills phải được kiểm định.","Có kho tài liệu khoa học lớn, model chưa hiểu tốt cách diễn đạt/thuật ngữ miền → cân nhắc CPT nếu model/service hỗ trợ.","Thiếu năng lực/ngôn ngữ miền rộng và có corpus không nhãn, khác với chỉ thiếu facts cập nhật cần retrieval.
Trên customization spectrum của module mới: dùng cho domain-knowledge/vocabulary gap cùng large unlabeled corpus; distillation là lựa chọn khác khi mục tiêu là teacher quality với student cost.","Không thay thế RAG khi cần facts mới, citations và cập nhật liên tục. Không tự dạy model tuân thủ instruction theo một format nhất định.",Bedrock supported customization; SageMaker AI,Domain 2,2.1,Fine-tuning strategy,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD",15/09/2026
Representative model evaluation,"• Your task / your data
• Holdout examples
• Compare candidates",Đánh giá trên mẫu đại diện thực tế,Representative evaluation measures candidate models on examples and criteria that reflect the intended workload.,Đo candidate models bằng ví dụ và tiêu chí phản ánh workload thật.,"Tạo eval set có input phổ biến, case khó, các ngôn ngữ và lengths quan trọng; dùng cùng task/rubric rồi đo quality, latency và cost. Ghi model/prompt versions và điều kiện thử.
Analyze and Evaluate Performance (2.3): định trước acceptance criteria và giữ test độc lập. Với GenAI, chuẩn bị cả references và bằng chứng cần để chấm; đánh giá theo topic/group bên cạnh điểm tổng.","Model dẫn đầu public benchmark chưa chắc tốt nhất cho support tiếng Việt hoặc product codes của doanh nghiệp.
Walkthrough dùng 200 câu hỏi, không phải cỡ mẫu AWS bắt buộc. Số lượng phải phù hợp độ đa dạng workload và độ tin cậy cần có.",Chọn FM bằng evidence trước cam kết; là nội dung2.1 liên quan hoạt động evaluation2.3.,Tránh chọn bằng một prompt đẹp hoặc dùng chính training examples để kết luận tổng quát hóa. Điểm trung bình có thể che failure ở một nhóm nhỏ.,Amazon Bedrock Evaluations,Domain 2,2.1,Model evaluation,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ",15/09/2026
