MLA-C01 • DOMAIN 4,DỊCH VỤ VÀ TÍNH NĂNG,Monitor Model Inference • Optimize Costs and Performance • Secure ML and AI Workloads,,,,,,,,,,,,,
69 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 4.1 + 4.2 + 4.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / Ví dụ / Điều kiện,3 module • Có phần mở rộng GenAI,,,,,,,,,,,,,
Đối chiếu: 16/09/2026,Nguồn: O • Có ghi phạm vi,Đối chiếu MLA-C01 và AWS docs; có ghi giới hạn và trạng thái dịch vụ.,,,,,,,,,,,,,
Key / Dịch vụ hoặc công cụ,Keyword cần nhớ,Definition (EN),Định nghĩa (VI),Benefits / Lợi ích chi tiết,Cơ chế / Quy trình,Use cases / Khi nào dùng,Ví dụ minh họa,Phân biệt / Điều kiện / Lưu ý,Loại,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
SageMaker Model Registry,version catalog • approval status • candidate identity,"SageMaker Model Registry catalogs model versions and associated metadata, including approval status, so teams can identify candidates and control which versions are eligible for release. During monitoring investigations it helps map a deployed model to its recorded evaluation context and select an approved recovery candidate. It organizes model governance; hosting infrastructure and deployment automation remain separate responsibilities.","SageMaker Model Registry quản lý danh mục phiên bản model và metadata liên quan, gồm approval status, giúp nhận diện candidate và kiểm soát phiên bản đủ điều kiện release. Khi điều tra monitoring, nó giúp ánh xạ model triển khai tới ngữ cảnh evaluation đã ghi và chọn candidate phục hồi được duyệt. Nó tổ chức quản trị model; hosting và automation triển khai là trách nhiệm riêng.",Version rõ ràng; review/approval có căn cứ; hỗ trợ xác định bản hiện tại và rollback candidate.,Register artifact/metrics → approval process → deployment references version → incident tra version và chọn recovery.,"Theo dõi model versions, audit candidate và lựa chọn rollback.",So model version gây regression với bản đã được phê duyệt trước đó.,"Registry không phục vụ request, không tự rollback chỉ vì đổi approval; cần workflow và mapping endpoint/version chính xác.",Khả năng quản trị SageMaker,Domain 4,4.1,Điều tra,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
SageMaker Model Cards,intended use • training/evaluation details • limitations,"SageMaker Model Cards centralize documentation about a model, including its intended uses, training and evaluation context, and relevant limitations. They help investigators understand whether a production use still matches the assumptions under which the model was approved and support communication about business impact. A model card is maintained documentation, not a live detector of drift or a substitute for measured evidence.","SageMaker Model Cards tập trung tài liệu về model, gồm mục đích sử dụng, ngữ cảnh training/evaluation và giới hạn liên quan. Chúng giúp người điều tra hiểu việc dùng production còn phù hợp giả định lúc phê duyệt không, và hỗ trợ trao đổi tác động kinh doanh. Model card là tài liệu cần duy trì, không phải bộ phát hiện drift trực tiếp hay thay thế bằng chứng đo lường.",Giữ context ngoài metric; giải thích intended use/risk; hỗ trợ review khi business requirements đổi.,Ghi thông tin development/evaluation/intended use → duy trì theo version → tham khảo khi incident hoặc đổi phạm vi.,"Human review, compliance/business impact và đánh giá model có bị dùng sai mục đích.",Model chỉ được đánh giá cho một thị trường nay phục vụ thị trường mới.,Card cũ hoặc thiếu thông tin có thể gây hiểu nhầm; không suy ra production đang đạt chỉ vì có card.,Tài liệu quản trị model,Domain 4,4.1,Điều tra,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
SageMaker ML Lineage Tracking,artifact provenance • relationships • impact analysis,"SageMaker ML Lineage Tracking records relationships among the artifacts, actions, and contexts involved in building and using a model. During an incident, those relationships help trace a model back to its data and processing history and identify downstream resources affected by a problematic artifact. Lineage is useful only to the extent the relevant relationships have actually been recorded.","SageMaker ML Lineage Tracking ghi quan hệ giữa artifact, action và context tham gia xây dựng, sử dụng model. Khi có sự cố, các quan hệ giúp truy model ngược về dữ liệu/lịch sử processing và xác định tài nguyên downstream bị ảnh hưởng bởi artifact lỗi. Lineage hữu ích trong phạm vi các quan hệ liên quan đã thực sự được ghi nhận.",Root-cause và impact analysis; truy dataset/image/job/model version; hỗ trợ tái hiện và thu hồi phạm vi chính xác.,Theo quan hệ model ← training/data → phiên bản/model khác → deployment đã liên kết; kết hợp registry và logs.,"Dataset sai, preprocessing regression hoặc cần xác định endpoint dùng model bị ảnh hưởng.",Tìm mọi model tạo từ dataset batch có nhãn lỗi để review deployment liên quan.,Không tự biết mọi dependency ngoài hệ thống chưa được instrument; lineage không phải SHAP/explanation từng prediction.,Khả năng provenance SageMaker,Domain 4,4.1,Điều tra,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
SageMaker hosting — production variants,multi-variant endpoint • weighted traffic • per-variant metrics,"SageMaker production variants let an endpoint host distinct model-and-resource configurations and route live requests among them. Teams can allocate relative traffic weights or target a variant explicitly, then compare operational metrics and separately computed model or business outcomes. This supports controlled production experiments and evidence-based promotion while limiting the initial exposure of a new candidate.","Production variants của SageMaker cho phép một endpoint phục vụ các cấu hình model–resource riêng và định tuyến request thực tế giữa chúng. Nhóm có thể phân bổ weight hoặc target variant cụ thể, rồi so metric vận hành với chất lượng model/nghiệp vụ được tính riêng. Khả năng này hỗ trợ thí nghiệm production có kiểm soát và promotion dựa bằng chứng, đồng thời giới hạn mức tiếp xúc ban đầu của candidate.","Đánh giá thực tế, tìm edge case, hạn chế ảnh hưởng candidate yếu; cùng endpoint giảm đổi tích hợp của client.",Deploy variants → set weights/TargetVariant → capture variant IDs/outcomes → compare metrics → adjust traffic/rollback.,"A/B model algorithms, hyperparameters, training data versions hoặc serving resources.","Current 90%, candidate 10%; kiểm tra latency, recall và business impact trước chuyển thêm traffic.","Weights chia tỷ lệ xác suất; model-quality cần labels. Khác multi-model endpoint, shadow variant và canary deployment guardrail.",Tính năng hosting SageMaker,Domain 4,4.1,A/B testing,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Amazon Bedrock — runtime inference metrics,FM calls • tokens • latency • errors/throttles • token economics • on-demand/batch/provisioned • IAM authentication • private access • application safeguards,"Amazon Bedrock provides managed access to foundation models for generative AI applications. Its runtime monitoring exposes invocation, error, throttle, token, and latency signals through CloudWatch so teams can observe demand, reliability, and generation behavior. These operational measurements help diagnose longer responses or slower generation, while the usefulness, grounding, and safety of the generated content require separate quality checks.

For cost optimization, Bedrock offers model-specific invocation and capacity options, including on-demand, supported batch inference, and Provisioned Throughput. Text-generation spending depends on input and output volumes and applicable rates, while caching, routing, retrieval, and supporting services affect the full application cost.

For security, Bedrock access is governed by the caller's credentials and permissions, while applications configure supported network, logging, data-protection, and guardrail features for their use case. Managed model access does not remove customer responsibility for retrieval authorization, secret handling, or releasing only appropriately checked responses.","Amazon Bedrock cung cấp truy cập foundation model được quản lý để xây ứng dụng generative AI. Runtime monitoring đưa tín hiệu invocation, error, throttle, token và latency vào CloudWatch để quan sát nhu cầu, độ tin cậy và hành vi sinh. Các số đo vận hành giúp phân tích response dài hơn hoặc sinh chậm hơn; tính hữu ích, bám nguồn và an toàn nội dung cần kiểm tra chất lượng riêng.

Trong tối ưu chi phí, Bedrock có lựa chọn invocation/capacity theo model, gồm on-demand, batch inference được hỗ trợ và Provisioned Throughput. Phí text generation phụ thuộc lượng input/output và giá tương ứng; caching, routing, retrieval cùng dịch vụ phụ trợ ảnh hưởng tổng chi phí ứng dụng.

Về bảo mật, truy cập Bedrock chịu kiểm soát bởi credentials và quyền của caller; ứng dụng cấu hình các tính năng mạng, logging, bảo vệ dữ liệu và Guardrails được hỗ trợ theo use case. Truy cập model được quản lý không loại bỏ trách nhiệm của khách hàng đối với phân quyền retrieval, quản lý bí mật hoặc chỉ trả response đã kiểm tra phù hợp.","Giảm tự vận hành nền tảng model; built-in runtime telemetry; dùng metric math phân tích token throughput và alarm theo nhu cầu.

Task 4.2: giảm tự quản lý serving; cho phép chọn mode theo demand/deadline, rồi tối ưu tokens/model mix trong ràng buộc chất lượng.

Task 4.3: Kết hợp managed FM access với IAM và safeguards của ứng dụng; tách quyền API khỏi chính sách nội dung.","Gọi model → CloudWatch runtime metrics → correlate tokens/latency/errors → OTPS với streaming → investigate; logging nội dung khi cần.

Task 4.2: Tách input/output/cached tokens theo model và application; đo cost/request/conversation; đánh giá prompt, routing, cache, batch/PT.

Task 4.3: Chọn role hoặc credentials phù hợp → giới hạn API/model → kiểm soát data paths → áp Guardrails đúng đường gọi → audit.","Vận hành FM assistants và phân biệt lỗi hạ tầng với quality regression.

Task 4.3: Ứng dụng GenAI production cần IAM, nội dung an toàn và bảo vệ dữ liệu.","Latency tăng kèm OutputTokenCount tăng nhưng OTPS ổn → xem prompt verbosity.

Task 4.2: 500.000 conversations × 4 turns × 800/400 tokens = 1,6B input/0,8B output trước các chi phí phụ.

Task 4.3: Chatbot backend dùng IAM role gọi model; RAG chỉ lấy tài liệu user có quyền.","Trong bài dùng bedrock-runtime/AWS/Bedrock; TTFT chỉ streaming theo API được nêu. Không dùng metric vận hành để kết luận response factual.

Không có call không đồng nghĩa toàn app không tốn phí. Giá/output ratio, batch discount và PT economics tùy model/Region; không tự suy savings cố định.

Task 4.3: Guardrails không thay IAM; API key là credentials chứ không là cơ chế cho phép mọi request. Xem các dòng API keys và RAG authorization.",Dịch vụ foundation models,Domain 4,4.1 / 4.2 / 4.3,FM operations; tối ưu cost/performance; bảo mật workload,Skill Builder,"https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9
https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW
https://skillbuilder.aws/learn/GVQ1SN594N/aws-ml-engineer-associate--secure-ml-and-ai-workloads/54MTEPSKTR
https://docs.aws.amazon.com/bedrock/latest/userguide/api-keys.html",16/09/2026
Amazon Bedrock evaluations — model and RAG,programmatic metrics • LLM judge • scheduled quality trend,"Amazon Bedrock evaluations assess model responses and RAG behavior using selected datasets and scoring methods, including programmatic metrics, judge models, and supported human evaluation workflows. In monitoring, repeated evaluation of representative prompts reveals trends in helpfulness, coherence, retrieval relevance, or generation quality that infrastructure metrics cannot detect. Reports support investigation and release decisions, with validity depending on dataset coverage and scoring configuration.","Amazon Bedrock evaluations đánh giá response model và hành vi RAG bằng dataset, phương pháp chấm được chọn, gồm metric chương trình, judge model và workflow human evaluation được hỗ trợ. Trong monitoring, đánh giá lặp prompt đại diện cho thấy xu hướng helpfulness, coherence, retrieval relevance hoặc chất lượng generation mà metric hạ tầng không phát hiện. Báo cáo hỗ trợ điều tra/release; độ tin phụ thuộc coverage dataset và cấu hình chấm.",Đánh giá nhiều chiều chất lượng; nhận diện regression dù latency ổn; tách retrieval khỏi generation để sửa đúng thành phần.,Version prompts/reference/rubric → run supported evaluation job → inspect aggregate/case scores → compare prior baseline → alert/review.,FM output quality trend và RAG quality trong production.,Helpfulness giảm sau prompt change; RAG relevance giảm sau cập nhật KB.,Tự orchestrate cadence phù hợp; không mặc định job liên tục kiểm từng response. Judge có sai số; availability và dataset requirements tùy loại evaluation.,Khả năng đánh giá Bedrock,Domain 4,4.1,FM quality,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Amazon Bedrock AgentCore Observability,sessions • traces • spans • workflow bottlenecks • agent amplification • cost per conversation • limits,"Amazon Bedrock AgentCore Observability supports tracing, debugging, and monitoring agents in production by connecting session-level behavior with request traces and individual operation spans. CloudWatch views help inspect timing and errors across model calls, retrieval, and tools so teams can locate a slow or failing step. Runtime metrics and instrumented telemetry complement custom behavioral metrics such as loops and escalation rates.

AgentCore observability also helps explain cost amplification by showing repeated model invocations, retrieval steps, tool calls, and accumulated context within a request or session. Teams can use this evidence to define step, retry, or token budgets and monitor changes in unit cost.","Amazon Bedrock AgentCore Observability hỗ trợ trace, debug và monitor agent production bằng cách nối hành vi theo session với trace request và span thao tác. Giao diện CloudWatch giúp xem thời gian/lỗi qua model call, retrieval và tools để xác định step chậm hoặc hỏng. Runtime metrics và telemetry đã instrument bổ sung cho metric hành vi tùy chỉnh như loops và escalation rate.

AgentCore observability còn giúp giải thích khuếch đại chi phí qua model invocation lặp, retrieval, tool call và context tích lũy trong request/session. Nhóm dùng bằng chứng này để đặt budget cho bước, retry hoặc token và theo dõi unit cost thay đổi.","Điều tra chính xác bottleneck; quan sát workflow nhiều bước; liên kết triệu chứng với release/tool và owner xử lý.

Task 4.2: tách tăng bill do traffic khỏi fan-out/loop/context; ưu tiên step có chi phí lớn.","Enable/instrument phù hợp → session/trace/span telemetry → CloudWatch agent views → tìm operation gây lỗi → playbook hoặc rollback → verify.

Task 4.2: Gắn session/request IDs và token/tool telemetry → tổng hợp cost với rate phù hợp → tìm step tốn phí → đặt limits trong application/orchestrator → theo dõi quality.","Agent chậm, tool failures, workflow regression và audit execution path.","Trace cho thấy phần lớn latency nằm ở API tool chứ không ở model generation.

Task 4.2: Traffic phẳng nhưng số model calls/conversation tăng sau release: inspect trace và retry path.","Built-in session metrics không tự instrument mọi custom step; custom behavioral metrics cần logic ứng dụng. Trace tốt không chứng minh answer hữu ích.

Tracing không tự áp ngân sách execution hoặc biến mọi downstream fee thành cost metric. Cần application logic, attribution và pricing data phù hợp.",Khả năng agent observability,Domain 4,4.1 / 4.2,Agent monitoring; tối ưu cost/performance,Skill Builder,"https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9
https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/observability.html
https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW",16/09/2026
Amazon Bedrock Knowledge Bases — monitored RAG context,retrieved evidence • data freshness • retrieval quality • RAG cost stack • embeddings • vector storage/search • authorized context • metadata filters • per-user access,"Amazon Bedrock Knowledge Bases connects application queries to retrieved information used to ground generated responses. In this monitoring module, its role is an evidence source whose freshness, relevance, and coverage affect RAG answer quality. When grounding scores decline, teams should inspect the retrieved documents and ingestion state before assuming the foundation model itself needs retraining or replacement.

The same RAG pipeline also introduces ingestion, embedding, vector-storage, search, and generation costs. Optimization must balance chunk selection and refresh frequency against source freshness, retrieval coverage, and answer quality.

For secure RAG, Knowledge Bases retrieval must be restricted to documents and chunks authorized for the current user. The application combines appropriately scoped service permissions with trusted, server-enforced retrieval filters and audit metadata; successful retrieval or strong grounding alone does not establish that disclosure is permitted.","Amazon Bedrock Knowledge Bases nối query ứng dụng với thông tin được truy xuất để làm căn cứ cho response sinh. Trong module monitoring, nó là nguồn bằng chứng có độ mới, liên quan và bao phủ ảnh hưởng chất lượng trả lời RAG. Khi grounding score giảm, cần xem tài liệu truy xuất và trạng thái ingestion trước khi cho rằng FM cần retrain hoặc thay thế.

Cùng pipeline RAG còn tạo chi phí ingestion, embedding, lưu vector, search và generation. Tối ưu phải cân bằng chọn chunk/tần suất refresh với độ mới nguồn, độ bao phủ retrieval và chất lượng câu trả lời.

Trong RAG bảo mật, truy xuất Knowledge Bases phải giới hạn tài liệu và chunk được phép cho người dùng hiện tại. Ứng dụng phối hợp quyền dịch vụ đúng phạm vi với retrieval filters đáng tin cậy được bắt buộc ở server và audit metadata; truy xuất thành công hoặc grounding tốt riêng lẻ không chứng minh được phép tiết lộ.","Cung cấp context có căn cứ; hỗ trợ kiểm tra chất lượng riêng retrieval/generation; giúp sửa dữ liệu tri thức thay vì retrain không đúng nguyên nhân.

Task 4.2: nhìn đầy đủ chi phí RAG thay vì chỉ FM output tokens; tránh re-embed dữ liệu không đổi khi kiến trúc hỗ trợ incremental updates.

Task 4.3: Giảm nguy cơ đưa tài liệu mật vào context; hỗ trợ phân loại public/internal/confidential và điều tra nguồn của response.","Source documents → ingestion/index → retrieval → answer → relevance/grounding checks → investigate stale/missing evidence.

Task 4.2: Tách ingestion/refresh khỏi query cost → kiểm tra số chunks và relevant context → điều chỉnh retrieval/refresh → đánh giá lại grounding.

Task 4.3: Gán metadata đáng tin cậy → xác thực user → tính filter từ entitlements → retrieve permitted chunks → log IDs → kiểm tra output.","Assistant dựa tài liệu doanh nghiệp, chính sách hoặc thông tin đổi thường xuyên.

Task 4.3: Chatbot nhiều user/tenant hoặc dữ liệu nội bộ lẫn công khai.","Support answer bám section cũ; cập nhật/sync nguồn rồi chạy lại evaluation.

Task 4.2: Kho tài liệu sync toàn bộ quá thường xuyên làm embedding cost tăng dù user traffic ổn định.

Task 4.3: Customer-facing bot chỉ truy xuất access_level=public; test rằng user không sửa/bỏ filter.","KB không bảo đảm mọi claim đúng; tài liệu sai/cũ hoặc retrieval bỏ sót vẫn tạo lỗi. Sửa source chưa đủ nếu index chưa cập nhật.

Không cắt context/refresh tùy ý chỉ vì giảm token; knowledge cũ hoặc retrieval thiếu có thể tăng hallucination và follow-up cost.

Task 4.3: Service role không tự thực thi mọi document ACL theo user; Guardrails không thay retrieval authorization. Tài liệu được grounded vẫn có thể bị lộ sai đối tượng.",Khả năng retrieval của Bedrock,Domain 4,4.1 / 4.2 / 4.3,FM quality; tối ưu cost/performance; bảo mật workload,Skill Builder,"https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9
https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW
https://skillbuilder.aws/learn/GVQ1SN594N/aws-ml-engineer-associate--secure-ml-and-ai-workloads/54MTEPSKTR",16/09/2026
Amazon Bedrock Guardrails — monitored safeguards,policy checks • intervention rate • safety signals • content • denied topics • words • PII • contextual grounding,"Amazon Bedrock Guardrails applies configured safeguards to application inputs and outputs, helping enforce content and safety requirements. Monitoring records how often these controls intervene and examines the categories and examples involved, so changing user traffic or model behavior can be investigated. Guardrails supplement model evaluation and human review; they do not establish universal factual accuracy or eliminate all unsafe behavior.

The security module covers five guardrail policy families: content filters, denied topics, word filters, sensitive-information filters, and contextual grounding checks. Their configured input or output scope and intervention behavior help enforce application boundaries, but only content passed through the intended supported evaluation path is covered.","Amazon Bedrock Guardrails áp các biện pháp bảo vệ đã cấu hình lên input/output ứng dụng để hỗ trợ yêu cầu nội dung và an toàn. Monitoring ghi tần suất can thiệp, xem nhóm chính sách và ví dụ liên quan để điều tra thay đổi traffic người dùng hoặc hành vi model. Guardrails bổ sung evaluation và human review; chúng không bảo đảm mọi thông tin đúng hoặc loại bỏ toàn bộ hành vi không an toàn.

Module bảo mật trình bày năm nhóm policy Guardrails: content filters, denied topics, word filters, sensitive-information filters và contextual grounding checks. Phạm vi input/output cùng hành vi can thiệp được cấu hình giúp thực thi ranh giới ứng dụng, nhưng chỉ nội dung đi qua đúng đường đánh giá được hỗ trợ mới được kiểm tra.","Kiểm soát tại luồng ứng dụng; tạo tín hiệu safety bên cạnh helpfulness/latency; giúp phát hiện policy violations tăng.

Task 4.3: Chặn nội dung có hại/chủ đề ngoài phạm vi; lọc từ; block hoặc mask PII; giảm câu trả lời thiếu nguồn và lạc đề theo threshold.","Configure policy → apply to supported input/output path → record interventions/category → normalize by traffic → alarm/review.

Task 4.3: Chọn policy và scope → test → version → áp vào invocation hoặc ApplyGuardrail → xử lý block/mask → theo dõi false positives/negatives.","Theo dõi safety boundaries của FM application.

Task 4.3: Chatbot tài chính cần chặn lời hứa lợi nhuận, profanity và PII theo đúng policy.","Violation rate tăng sau mở thêm đối tượng người dùng → phân tích input mix và phản hồi.

Task 4.3: Financial promises → denied topics; profanity → word filters; PII → sensitive filters; unsupported claim → grounding.","Rate phụ thuộc coverage/cấu hình; không giảm protection chỉ để hạ rate. Grounding check và content policy có mục đích khác nhau.

Task 4.3: Không tự áp mọi API call; prompt-attack inspection có giới hạn theo API/input. PII masking không che sẵn original log/trace; không thay document ACL hoặc bảo đảm không còn hallucination.",Khả năng bảo vệ Bedrock,Domain 4,4.1 / 4.3,FM quality; bảo mật workload,Skill Builder,"https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9
https://skillbuilder.aws/learn/GVQ1SN594N/aws-ml-engineer-associate--secure-ml-and-ai-workloads/54MTEPSKTR
https://docs.aws.amazon.com/bedrock/latest/userguide/guardrails-prompt-attack.html
https://docs.aws.amazon.com/bedrock/latest/userguide/guardrails-sensitive-filters.html
https://docs.aws.amazon.com/bedrock/latest/userguide/guardrails-contextual-grounding-check.html",16/09/2026
Amazon SageMaker Inference Recommender,benchmark configurations • latency/throughput • cost,"Amazon SageMaker Inference Recommender benchmarks a model on alternative SageMaker endpoint configurations and reports performance, resource utilization, and cost information. It helps select an appropriate serving configuration through default recommendations or more advanced tests that reflect specified traffic and performance requirements, reducing manual trial-and-error during inference rightsizing.","Amazon SageMaker Inference Recommender benchmark model trên các cấu hình endpoint SageMaker khác nhau và báo thông tin hiệu năng, mức dùng tài nguyên, chi phí. Công cụ giúp chọn cấu hình serving phù hợp qua khuyến nghị mặc định hoặc bài test nâng cao theo traffic/yêu cầu hiệu năng được chỉ định, giảm thử sai thủ công khi rightsizing inference.",So sánh có số đo; tìm family/size/count đáp ứng latency và throughput; giảm nguy cơ chọn máy rẻ nhưng không đủ phục vụ. Đánh giá giá thành cùng kết quả benchmark.,"Chuẩn bị model/container, sample payload và quyền → tạo recommendation job → đọc cấu hình đề xuất → advanced endpoint test nếu cần → kiểm chứng production traffic trước rollout.","Endpoint overprovisioned, lựa chọn CPU/GPU/Inferentia, triển khai model mới.","CPU 35%, memory 28%: benchmark máy nhỏ hơn và family khác thay vì giảm ngay trên production.",Default khoảng 45 phút/advanced khoảng 2 giờ trong bài chỉ là thời gian tham khảo. Benchmark có phí tài nguyên; sample phải đại diện payload và concurrency thật.,Tính năng benchmark inference,Domain 4,4.2,Rightsizing,Skill Builder,"https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW
https://docs.aws.amazon.com/sagemaker/latest/dg/inference-recommender.html",16/09/2026
AWS Compute Optimizer,utilization analysis • rightsizing • idle resources,"AWS Compute Optimizer analyzes utilization data for supported AWS resources and produces recommendations to reduce waste or improve resource fit. Its recommendation capabilities depend on resource type and available metrics; in the current documentation, SageMaker endpoints are covered for idle-resource recommendations, which is different from benchmarking every managed SageMaker training or serving configuration.","AWS Compute Optimizer phân tích dữ liệu utilization của các tài nguyên AWS được hỗ trợ và đưa khuyến nghị giảm lãng phí hoặc chọn tài nguyên phù hợp hơn. Khả năng khuyến nghị phụ thuộc loại resource và metric có sẵn; tài liệu hiện tại hỗ trợ khuyến nghị endpoint SageMaker nhàn rỗi, khác với benchmark mọi cấu hình training/serving SageMaker managed.",Phát hiện tài nguyên dư thừa từ số liệu quan sát; ưu tiên cơ hội tiết kiệm; bổ sung góc nhìn lịch sử cho quyết định rightsizing.,"Bật dịch vụ/quyền và bảo đảm resource đủ dữ liệu → xem finding/recommendation → đối chiếu workload, deadline, memory và load test → áp dụng có kiểm soát → theo dõi sau đổi.",Phân tích EC2 và các resource được hỗ trợ; kiểm tra endpoint không có usage đáng kể theo tiêu chí dịch vụ.,Máy EC2 CPU/memory thấp lâu ngày có thể được đề xuất cấu hình phù hợp hơn; endpoint SageMaker idle cần review mục đích trước khi xóa.,Khóa học mô tả rộng; không suy mọi SageMaker training job có khuyến nghị rightsizing trực tiếp. Phân biệt idle finding với Inference Recommender benchmark.,Dịch vụ khuyến nghị tài nguyên,Domain 4,4.2,Rightsizing,Skill Builder,"https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW
https://docs.aws.amazon.com/compute-optimizer/latest/ug/supported-resources.html",16/09/2026
AWS X-Ray,distributed tracing • service map • latency breakdown,"AWS X-Ray traces requests across instrumented application components and AWS integrations, exposing their dependencies, timing, and errors. Service maps and request traces help locate where end-to-end inference latency is spent, including API handling, preprocessing, model calls, and downstream databases, so teams can optimize the component responsible for the delay.","AWS X-Ray theo dõi request qua các thành phần ứng dụng đã instrument và tích hợp AWS, cho thấy quan hệ phụ thuộc, thời gian và lỗi. Service map cùng trace giúp tìm latency inference end-to-end nằm ở API, preprocessing, model call hay database phía sau, để tối ưu đúng thành phần gây chậm.",Nhìn cả chuỗi request thay vì một endpoint; tìm dependency chậm; phân biệt thời gian chờ/lỗi tích hợp với compute của model.,Instrument và truyền trace context → thu trace → xem service map/request timeline → tìm critical path → sửa bottleneck → đo lại.,Ứng dụng inference gồm API Gateway/Lambda/SageMaker/database hoặc nhiều microservices.,Database lookup chiếm phần lớn latency: tối ưu dependency trước khi mua thêm GPU.,"Phụ thuộc coverage instrumentation/sampling. CloudTrail phục vụ audit API, CloudWatch metrics phục vụ số đo tổng; các công cụ bổ sung nhau.",Dịch vụ distributed tracing,Domain 4,4.2,Observability,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
Amazon CloudWatch Logs Insights,interactive log queries • Patterns • Compare,"Amazon CloudWatch Logs Insights provides interactive querying and analysis of log data stored in CloudWatch Logs. Teams can filter and aggregate events, inspect recurring patterns, and compare time periods to investigate errors or performance regressions; the results complement metrics and traces with the detailed events behind an operational symptom.","Amazon CloudWatch Logs Insights cung cấp truy vấn và phân tích tương tác dữ liệu log lưu trong CloudWatch Logs. Nhóm vận hành có thể lọc, tổng hợp event, xem mẫu lặp và so giai đoạn để điều tra lỗi hoặc performance regression; kết quả bổ sung cho metric/trace bằng event chi tiết phía sau triệu chứng vận hành.",Tìm lỗi theo request/version/dependency; phát hiện pattern sau deployment; rút ngắn tìm kiếm thủ công trong lượng log lớn.,Chọn log groups/time range → query/filter/aggregate → inspect Patterns hoặc Compare khi phù hợp → đối chiếu release/metric → xử lý nguyên nhân.,"Timeout, container errors, Lambda failures và integration anomalies.",So error patterns trước/sau release để nhận ra tên exception mới hoặc dependency gây lỗi.,Không phải CloudTrail audit hoặc detector model drift. Giới hạn time range và log scope để kiểm soát dữ liệu scan/chi phí.,Tính năng phân tích log,Domain 4,4.2,Observability,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
