MLA-C01 • DOMAIN 2,DỊCH VỤ & CÔNG CỤ,Choose • Train • Customize • Evaluate,,,,,,,,,,,,,
62 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 2.1–2.3 • Mới: 2.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / ví dụ / điều kiện,Analyze / Evaluate: +8 mục • mở rộng 5,,,,,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: O • Có ghi phạm vi,Đã tổng hợp bốn module D2 theo nguồn đã mở.,,,,,,,,,,,,,
Key / Dịch vụ hoặc công cụ,Keyword cần nhớ,Definition (EN),Định nghĩa (VI),Benefits / Lợi ích chi tiết,Cơ chế / Quy trình,Use cases / Khi nào dùng,Ví dụ minh họa,Phân biệt / Điều kiện / Lưu ý,Loại,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Amazon SageMaker AI,"• Build / train / tune / deploy
• Own data
• Model control","Amazon SageMaker AI provides managed tools and computing workflows for developing, training, evaluating and serving ML models with built-in algorithms, supported frameworks or custom containers. A training job combines data, code, hyperparameters, an execution role and compute, then records outputs such as model artifacts and metrics. It offers deeper modeling control than fixed AI APIs, while teams remain responsible for experiment design, data quality and model validation.","Amazon SageMaker AI cung cấp công cụ và workflow tính toán được quản lý để phát triển, training, đánh giá, phục vụ model ML bằng thuật toán built-in, framework được hỗ trợ hoặc container tùy chỉnh. Training job kết hợp dữ liệu, mã, hyperparameter, execution role và compute, sau đó ghi các đầu ra như model artifact, metric. Dịch vụ cho mức kiểm soát modeling sâu hơn API AI cố định, còn nhóm chịu trách nhiệm thiết kế thử nghiệm, chất lượng dữ liệu và kiểm định model.","Cho kiểm soát thuật toán, training data, code và evaluation sâu hơn fixed AI APIs; hỗ trợ pretrained/built-in/custom approaches, tradeoff là cần ML engineering work.
Train Models: managed training cung cấp compute cho job, thực thi container và lưu model artifact vào S3; có built-in/script/BYOC theo mức quyền kiểm soát. AMT hỗ trợ tìm configuration; training instances thông thường được giải phóng sau job.
Analyze/Evaluate: kết hợp managed MLflow để so experiments, Clarify để explainability, training diagnostics để điều tra convergence, và variants để đánh giá candidate trên live traffic.","Chọn algorithm/pretrained model hoặc code/framework; chuẩn bị data và training settings; evaluate rồi chọn deployment phù hợp ở giai đoạn tiếp theo.
Task 2.2: chọn image/code → cấu hình channels/hyperparameters/compute/role/output → submit → theo dõi metric/log → kiểm tra artifact và validation.
Task 2.3: đo baseline → chọn metric nghiệp vụ → phân tích errors/curves/explanations → so candidate với tracking và evidence.","Custom ML, transfer learning hoặc model không đáp ứng được bằng catalog/workflow Bedrock đang hỗ trợ.",Fine-tune pretrained image classifier trong walkthrough khi cần kiểm soát architecture/training/evaluation.,"Managed compute không tự chọn đúng model hoặc sửa dữ liệu. Bảng đã bao phủ lựa chọn approach và phần training của hai module; training job thành công chưa có nghĩa endpoint đã được triển khai hoặc model đạt yêu cầu.
Các capability có availability riêng; xem ghi chú hiện hành cho Debugger/Model Monitor tại dòng riêng. Bảng hiện tổng hợp cả training, customization và evaluation từ bốn module D2.",Managed ML platform,Domain 2,2.1,ML development,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/sagemaker/latest/dg/whatis.html
https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/your-algorithms-training-algo-running-container.html
https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ",15/09/2026
Amazon SageMaker JumpStart,"• Pretrained models
• Solution templates
• Deploy or fine-tune","Amazon SageMaker JumpStart is a catalog and set of solution starting points that provides pretrained models and supporting assets for use in SageMaker. Teams can evaluate a candidate as supplied and deploy or fine-tune it when the particular model supports those operations. It reduces development from scratch, but model licenses, input formats, hardware requirements and task-specific performance must be checked before adoption.","Amazon SageMaker JumpStart là catalog và tập điểm khởi đầu giải pháp cung cấp model pretrained cùng tài sản hỗ trợ để sử dụng trong SageMaker. Nhóm có thể đánh giá model nguyên bản, triển khai hoặc fine-tune khi model cụ thể hỗ trợ các thao tác đó. JumpStart giảm công phát triển từ đầu, nhưng giấy phép, định dạng input, yêu cầu phần cứng và hiệu năng theo tác vụ của model cần được kiểm tra trước khi sử dụng.",Tái sử dụng representations và templates giúp giảm công train từ đầu; cho kiểm soát deployment/fine-tuning theo model hỗ trợ.,"Tìm candidate phù hợp task/license; benchmark as-is, fine-tune nếu cần; xem yêu cầu inference/training instance và cách xử lý input.",Muốn cụ thể một pretrained model và kiểm soát ML workflow hơn managed task API.,Lấy image backbone/model phù hợp rồi adapt bằng ảnh có nhãn của tổ chức.,"Không phải mọi model đều cho fine-tuning hoặc dùng cùng configuration. Deploy nhanh không bảo đảm quality, chi phí hay license phù hợp production.",Model catalog / starting points,Domain 2,2.1,ML development,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/sagemaker/latest/dg/studio-jumpstart.html",14/09/2026
SageMaker built-in algorithms,"• Task-specific algorithms
• Managed implementations
• Bring training data
• Least effort when task fits
• Data + hyperparameters + compute","SageMaker built-in algorithms are AWS-provided implementations packaged for supported ML tasks and SageMaker training workflows. Users choose an algorithm compatible with their task and input format, configure data channels, hyperparameters and computing resources, and run a managed job to produce a trained artifact. They reduce algorithm and container implementation work, but are distinct from already-trained foundation models and still require training and validation.","Thuật toán built-in SageMaker là các triển khai do AWS cung cấp, được đóng gói cho tác vụ ML và workflow training SageMaker được hỗ trợ. Người dùng chọn thuật toán khớp bài toán, định dạng input, cấu hình data channel, hyperparameter, tài nguyên tính toán rồi chạy managed job để tạo artifact đã huấn luyện. Chúng giảm công triển khai thuật toán, container nhưng khác foundation model đã được huấn luyện sẵn và vẫn cần training, kiểm định.","Giảm công tự viết thuật toán/container cho task được hỗ trợ, vẫn cho cấu hình data/hyperparameters và evaluate. Là một lựa chọn khác với pretrained FM/API cố định.","Khớp task và data format với algorithm, cấu hình training/evaluation, rồi so candidate theo requirements.
Train Models (Task 2.2): job lấy managed algorithm container và chạy trên compute cấu hình; kiểm tra data formats/input modes/instance support riêng của thuật toán. Output trained artifact ghi S3.","Classification, regression, clustering và các nhiệm vụ được catalog liệt kê.","Bài resource trỏ catalog built-in algorithms để tra khả năng; dùng target/task fit trước chọn tên thuật toán.
Ví dụ Train Models: structured customer churn + least implementation effort → built-in XGBoost nếu phù hợp.","Built-in không đồng nghĩa đã train trên data của bạn hoặc luôn tốt nhất. Vẫn cần dataset, labels, validation và hyperparameter config. Chỉ có các thuật toán liên quan nội dung/ảnh đã được tách riêng; bảng không thay toàn bộ tài liệu từng algorithm.",Algorithm catalog,Domain 2,2.1,ML development,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/sagemaker/latest/dg/algos.html
https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/cmn-info-instance-types.html",15/09/2026
Amazon Bedrock Knowledge Bases,"• Managed retrieval
• Grounding + citations
• Data-source integration
• CHUNKING / EMBEDDING / RETRIEVAL TUNING","Amazon Bedrock Knowledge Bases connects generative AI applications to external data through managed ingestion and retrieval workflows. It prepares chunks and embeddings, indexes supported sources and retrieves relevant context for a query, optionally combining retrieval with model generation. It is suited to private or changing knowledge and should be evaluated separately for retrieval relevance and answer faithfulness, because a good generator cannot compensate for consistently missing source material.","Amazon Bedrock Knowledge Bases kết nối ứng dụng AI tạo sinh với dữ liệu bên ngoài qua workflow ingest và retrieval được quản lý. Dịch vụ chuẩn bị chunk, embedding, lập chỉ mục nguồn được hỗ trợ và lấy context liên quan cho câu hỏi, có thể kết hợp retrieval với generation. Công cụ phù hợp với tri thức riêng hoặc thường thay đổi và cần được đánh giá riêng về mức liên quan của retrieval, mức bám nguồn của câu trả lời, vì generator tốt không bù được việc thường xuyên thiếu nguồn cần thiết.","Giảm công ghép RAG pipeline, giúp lấy context liên quan và đưa source attribution; phù hợp QA trên private/changing documents khi base model đã diễn đạt tốt.
Cho phép tối ưu chất lượng context qua chunking, embedding model và cấu hình retrieval phù hợp; giúp xử lý lỗi ở retriever trước khi tăng độ phức tạp generator.","Kết nối nguồn, cấu hình khả năng ingestion/retrieval phù hợp, sync/index rồi đánh giá query và generated answers. Dùng retrieval riêng hoặc retrieval+generation theo API.
Index-time: chunks và embeddings. Query-time: retrieve, chọn k, rerank/hybrid khi backend hỗ trợ; đo chất lượng sau mỗi thay đổi.
Task 2.3: đánh giá retrieval (Recall@k, precision, MRR) tách khỏi generation (faithfulness, answer relevance); phân loại lỗi theo topic và human feedback.","RAG cho policy, protocols và research documents nội bộ.","Walkthrough: không có nhiều labeled QA data, cần grounded/traceable answers → Knowledge Bases với FM generation.
Billing questions kém hữu ích do tài liệu mỏng → bổ sung nội dung và sync/index, rồi đánh giá lại. Nếu tài liệu đã có nhưng bị miss → điều tra retrieval trước.","Bài minh họa tạo OpenSearch Serverless khi chưa có store; không coi là mặc định duy nhất mọi chế độ hiện hành. Docs hiện có Managed và Customer-managed Knowledge Bases; mức kiểm soát/backend phụ thuộc loại chọn. Citations không tự bảo đảm facts đúng.
Đổi chunking/embedding representation cần cập nhật index. Similarity threshold trong bài là khái niệm chung, không mặc định là một field trực tiếp của mọi Knowledge Bases API.
MRR không thể nghịch đảo thành average rank; retrieval tốt cũng không bảo đảm generator bám nguồn.",Managed RAG capability,Domain 2,2.1,RAG infrastructure,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base.html
https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD
https://docs.aws.amazon.com/bedrock/latest/userguide/kb-chunking.html
https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-config.html
https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ",15/09/2026
Amazon OpenSearch Service,"• Vector + lexical search
• Custom retrieval control
• Index configuration","Amazon OpenSearch Service is a managed search and analytics service that indexes documents and supports full-text search, filtering and vector similarity retrieval through supported engines and configurations. It can combine lexical and semantic signals for hybrid search, making it useful for RAG and applications that need both exact identifiers and meaning-based matching. Index design and deployment choices govern performance and capabilities.","Amazon OpenSearch Service là dịch vụ tìm kiếm và phân tích được quản lý, lập chỉ mục tài liệu và hỗ trợ tìm kiếm toàn văn, lọc dữ liệu cùng truy xuất vector tương đồng thông qua engine và cấu hình được hỗ trợ. Dịch vụ có thể kết hợp tín hiệu từ khóa với ngữ nghĩa để tìm kiếm hybrid, phù hợp với RAG và ứng dụng cần cả mã định danh chính xác lẫn so khớp theo ý nghĩa. Thiết kế index và lựa chọn triển khai quyết định hiệu năng, tính năng sử dụng được.",Cho xây retrieval phù hợp indexing/filtering/search requirements; có thể kết hợp lexical và semantic search trong custom RAG.,"Thiết kế index/mappings và metadata, nạp documents/vectors tương thích, query/rank kết quả rồi gửi context cho FM. Bạn quản lý các quyết định retrieval của ứng dụng.",Cần custom indexing/search/filtering hoặc hệ thống search đã có sẵn cần tích hợp RAG.,Product-code search cần exact keywords cùng semantic meaning → thiết kế hybrid retrieval.,"Vector store không tự làm toàn bộ RAG hoặc fine-tune generator. Managed service vẫn cần cấu hình access, index, capacity và chất lượng truy xuất.",Search / vector service,Domain 2,2.1,RAG infrastructure,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/en_en/bedrock/latest/userguide/kb-test-config.html",14/09/2026
Amazon OpenSearch Serverless,"• Serverless search capacity
• Vector search
• Knowledge-base backend option","Amazon OpenSearch Serverless is a serverless option for operating supported search and analytics workloads without directly provisioning and managing OpenSearch nodes. Applications create collections and indexes, configure access and ingest documents or vectors for retrieval. Supported vector-search collections can serve RAG integrations, while index schema, embedding compatibility, search quality and the service's capacity and cost behavior still require application-level planning.","Amazon OpenSearch Serverless là lựa chọn serverless để vận hành workload tìm kiếm, phân tích được hỗ trợ mà không trực tiếp cấp phát, quản lý node OpenSearch. Ứng dụng tạo collection, index, cấu hình quyền và nạp tài liệu hoặc vector để truy xuất. Vector-search collection được hỗ trợ có thể phục vụ tích hợp RAG, nhưng schema index, tính tương thích embedding, chất lượng tìm kiếm và cơ chế capacity, chi phí vẫn cần được lập kế hoạch ở cấp ứng dụng.",Giảm quản lý nodes/clusters trực tiếp; là một backend được minh họa trong luồng Knowledge Bases của bài.,"Chọn collection/index phù hợp, cấu hình permissions và schema; nạp embeddings rồi dùng retrieval theo integration. Vẫn theo dõi capacity/cost và search quality.",Muốn backend vector search được quản lý cho RAG và hỗ trợ yêu cầu của integration.,"Trong base RAG walkthrough, Knowledge Bases có thể tạo store này khi chọn luồng hỗ trợ và chưa cung cấp store.",Không mặc định mọi Knowledge Base hiện hành đều dùng OpenSearch Serverless; hybrid support còn cần text field/config phù hợp. Serverless không có nghĩa miễn phí hay không cần cấu hình.,Serverless search option,Domain 2,2.1,RAG infrastructure,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base.html
https://docs.aws.amazon.com/en_en/bedrock/latest/userguide/kb-test-config.html",14/09/2026
Amazon Aurora PostgreSQL with pgvector,"• Vectors + relational data
• SQL filtering
• Colocate existing data","Amazon Aurora PostgreSQL can store and query numerical embeddings through the supported pgvector extension, alongside existing relational tables and metadata. SQL queries perform similarity retrieval using compatible distance operators and supported indexes, making the database a possible component of a RAG architecture. Database version, vector dimensions, indexing choices and integration support must be matched to the workload rather than assumed from the PostgreSQL name alone.","Amazon Aurora PostgreSQL có thể lưu, truy vấn embedding số bằng extension pgvector được hỗ trợ, đặt cạnh bảng quan hệ và metadata hiện có. Truy vấn SQL thực hiện retrieval tương đồng bằng toán tử khoảng cách tương thích và index được hỗ trợ, giúp database trở thành một thành phần có thể dùng trong kiến trúc RAG. Phiên bản database, số chiều vector, lựa chọn index và khả năng tích hợp phải phù hợp workload, không thể chỉ suy ra từ tên PostgreSQL.","Hữu ích khi cần để vectors cạnh dữ liệu quan hệ đã có, tận dụng SQL/metadata và transaction model; một lựa chọn backend cho RAG phù hợp.","Chọn schema và embedding dimension, nạp vectors/metadata, cấu hình index/query rồi đánh giá retrieval; tích hợp generator riêng hoặc qua dịch vụ hỗ trợ.",Doanh nghiệp đã dùng Aurora và cần vectors gắn với dữ liệu quan hệ hoặc custom filters.,RAG tìm tài liệu kèm lọc theo loại sản phẩm/quyền truy cập trong mô hình dữ liệu hiện có.,pgvector không tự sinh embeddings hoặc answers. Cần kiểm tra engine/extension/index/integration hỗ trợ; locality không tự chứng minh rẻ hoặc nhanh hơn mọi vector store.,Database + vector extension,Domain 2,2.1,RAG infrastructure,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/en_en/bedrock/latest/userguide/kb-test-config.html",14/09/2026
Amazon Bedrock Evaluations,"• Own eval dataset
• Automatic / human / judge
• Compare model evidence","Amazon Bedrock Evaluations provides workflows for assessing supported model and RAG outputs using automated metrics, human judgments or model-based evaluators. Teams supply evaluation data, candidates and criteria, then inspect results and failure cases to compare alternatives on their own tasks. Evaluation type determines available metrics and required references; retrieval quality, generation quality, latency and cost should not be collapsed into a single unexplained score.","Amazon Bedrock Evaluations cung cấp workflow đánh giá đầu ra model và RAG được hỗ trợ bằng metric tự động, nhận xét của con người hoặc model đánh giá. Nhóm cung cấp dữ liệu đánh giá, candidate, tiêu chí rồi xem kết quả và trường hợp thất bại để so sánh các lựa chọn trên tác vụ thực tế. Loại evaluation quyết định metric và nguồn tham chiếu cần có; không nên gộp chất lượng retrieval, generation, latency và chi phí thành một điểm số thiếu giải thích.","Giúp so candidate bằng evidence trên task/data thật thay vì chọn theo public leaderboard; có thể đánh giá cả khả năng retrieval/generation khi workflow hỗ trợ.
Analyze/Evaluate nhấn mạnh đánh giá nhiều chiều: judge đo helpfulness/coherence/faithfulness/harmfulness, kết hợp NLP metrics và human review để chẩn đoán thay vì chỉ một score.","Chuẩn bị dataset/rubric, chọn evaluation type và candidate, chạy job, phân tích failure cases cùng quality metrics; latency/cost vẫn cần đo theo workload.
RAG evaluation phân biệt retrieve-only với retrieve-and-generate; chọn metric phù hợp dữ liệu và loại job. Context coverage cần ground truth theo docs; các classic Recall@k/MRR của bài là retrieval benchmark metrics, không mặc định tên metric built-in Bedrock.","Shortlist FM, so prompting/adaptation hoặc so chất lượng RAG trước quyết định.",Đánh giá review classification hoặc document QA trên representative examples riêng của doanh nghiệp.,"Automatic/human/judge có những giới hạn khác nhau. Không coi score trung bình là bảo đảm mọi nhóm/case; kiểm tra supported models, Regions và kiểu job.
Tên/hỗ trợ metric phụ thuộc loại job. Bài dùng thang 0–1 cho ví dụ; đọc schema/chiều score thực tế. Harmfulness lower-is-better; không gộp tất cả score theo cùng hướng.",Evaluation capability,Domain 2,2.1,Model evaluation,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/evaluation.html
https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ
https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-eval-retrieve.html",15/09/2026
Amazon Bedrock model customization,"• Supported model only
• Labeled SFT data
• Managed adaptation jobs
• BEHAVIOR / STYLE ADAPTATION
• RETENTION EVALUATION","Amazon Bedrock model customization runs managed adaptation jobs for supported combinations of foundation models, customization methods and Regions. Users prepare task-appropriate training data and permissions, configure the job and evaluate the resulting customized model against the base model. It can adapt behavior, style or domain performance, but effectiveness, forgetting risk and available serving options depend on the selected model, method and dataset.","Model customization của Amazon Bedrock chạy job điều chỉnh được quản lý cho những tổ hợp foundation model, phương pháp customization và Region được hỗ trợ. Người dùng chuẩn bị dữ liệu training phù hợp tác vụ và quyền, cấu hình job rồi đánh giá custom model so với base model. Khả năng này có thể điều chỉnh hành vi, phong cách hoặc hiệu năng theo lĩnh vực, nhưng hiệu quả, nguy cơ quên kiến thức và lựa chọn serving phụ thuộc model, phương pháp, dataset.","Giảm công quản lý training infrastructure cho model/method được hỗ trợ; tạo customized model với quyền truy cập do tài khoản/permissions kiểm soát.
Built-in behavior/style có thể giảm nhu cầu đưa nhiều examples vào mỗi prompt khi kết quả tuning đủ tốt; lợi ích token/latency/cost thực tế cần benchmark.","Chọn chiến lược trước, xác minh model/Region/method, chuẩn bị data S3 đúng schema và permissions; submit/evaluate, rồi tính cả chi phí serving customized model.
So base với tuned trên domain và general tasks, lưu phiên bản và data/config; dùng phương pháp chống forgetting do nền tảng/model cho phép.",Có labeled prompt-response data để cải thiện task behavior/style và muốn managed workflow.,Instruction fine-tuning trên model được catalog hỗ trợ khi prompt/RAG chưa đạt yêu cầu.,"Không phải mọi FM đều fine-tune được. Bài nhắc CPT với model được hỗ trợ; khả dụng thực tế phải tra catalog hiện hành, không suy hỗ trợ CPT từ hỗ trợ SFT. Private copy không có nghĩa chỉ một người dùng được nếu IAM cấp quyền khác.
Không suy mọi job expose LoRA knobs hoặc mọi custom model luôn có giá token thấp hơn base. Distillation là capability riêng với cặp teacher/student được hỗ trợ.",Model customization capability,Domain 2,2.1,Fine-tuning strategy,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/custom-model-fine-tuning.html
https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD
https://docs.aws.amazon.com/bedrock/latest/userguide/custom-models.html",15/09/2026
Amazon Bedrock prompt caching,"• Repeated prefix reuse
• Input cost + latency
• Model/API-dependent","Amazon Bedrock prompt caching reuses eligible processing of repeated prompt content for supported models and APIs. Applications structure stable instructions or context as reusable prompt portions and send changing request content separately according to the model's caching mechanism. It can reduce repeated input processing and latency, while actual savings depend on cache eligibility, hit rate, cache duration and model-specific read and write pricing.","Prompt caching của Amazon Bedrock tái sử dụng phần xử lý đủ điều kiện của nội dung prompt lặp lại đối với model và API được hỗ trợ. Ứng dụng tổ chức chỉ dẫn hoặc context ổn định thành phần prompt tái sử dụng, tách nội dung request thay đổi theo cơ chế cache của model. Tính năng có thể giảm xử lý input lặp lại và latency, còn mức tiết kiệm thực tế phụ thuộc điều kiện cache, tỷ lệ hit, thời hạn cache và giá đọc/ghi theo model.","Giảm input processing và latency khi prefix dài được dùng nhiều lần, giữ được nội dung chỉ dẫn/context cần thiết.","Tách static prefix và dynamic request, dùng cơ chế cache theo model; đo hit/miss, cache-read/write tokens và tổng bill sau thay đổi.",Chat app gửi system prompt/tool descriptions hoặc tài liệu chung lặp lại nhiều lần.,"D2-P10: cache shared prefix + trim unnecessary context, rồi kiểm tra chất lượng giữ nguyên.","Cache không phải memorized answer; không bảo đảm hit. TTL/minimum tokens/fees khác nhau, write có thể đắt hơn uncached input; không áp với Bedrock batch inference API theo docs hiện hành.",Inference optimization,Domain 2,2.1,GenAI economics,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/prompt-caching.html",14/09/2026
Amazon Bedrock batch inference,"• Asynchronous prompts
• S3 input/output
• Non-interactive workload","Amazon Bedrock batch inference processes collections of independent inference requests asynchronously for supported models. Users place correctly formatted request records in S3, submit a batch job and retrieve outputs or errors from its configured destination after processing. It fits non-interactive workloads such as document backlogs and bulk generation, where completion time and batch pricing matter more than immediate responses to individual users.","Batch inference của Amazon Bedrock xử lý bất đồng bộ tập request inference độc lập cho model được hỗ trợ. Người dùng đặt bản ghi request đúng định dạng trong S3, gửi batch job và lấy output hoặc lỗi tại vị trí đích đã cấu hình sau khi xử lý. Lựa chọn phù hợp với workload không tương tác như tài liệu tồn đọng và sinh nội dung hàng loạt, nơi thời gian hoàn tất cùng giá batch quan trọng hơn phản hồi ngay cho từng người dùng.",Phù hợp document backlog/non-interactive tasks; có thể có giá mode batch thuận lợi ở model hỗ trợ thay vì mỗi yêu cầu tương tác.,"Chuẩn bị input records đúng format, đặt tại S3, submit batch job, theo dõi trạng thái và đọc outputs/errors để kiểm định kết quả.",Tóm tắt tài liệu qua đêm hoặc xử lý hàng loạt review không cần câu trả lời tức thì.,"Chọn batch khi deadline cho phép chờ, không dùng nó cho user đang chờ live chat.",Không hỗ trợ provisioned models theo docs; cũng không hỗ trợ tool calling/multi-turn interaction cho từng record. Không trộn với training batch size hoặc mặc định mọi model đều hỗ trợ batch.,Inference mode,Domain 2,2.1,GenAI economics,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/batch-inference.html",14/09/2026
Amazon Bedrock Provisioned Throughput,"• Provisioned capacity
• Hourly billing
• Utilization drives value","Amazon Bedrock Provisioned Throughput allocates serving capacity in advance for supported model configurations, using model-specific throughput units and purchase conditions. It can suit predictable, sustained demand when reserved capacity is sufficiently utilized and its cost is justified. Teams must validate the exact model, Region and inference path, because customization or importing a model does not universally imply that Provisioned Throughput is required.","Amazon Bedrock Provisioned Throughput cấp trước capacity phục vụ cho cấu hình model được hỗ trợ, sử dụng đơn vị thông lượng và điều kiện mua theo model. Lựa chọn có thể phù hợp với nhu cầu đều, dự đoán được khi capacity dành trước được sử dụng đủ và chi phí hợp lý. Nhóm phải xác nhận đúng model, Region, đường inference vì việc tùy chỉnh hoặc import model không phải lúc nào cũng đồng nghĩa bắt buộc dùng Provisioned Throughput.","Phù hợp khi cần capacity cho predictable workload và utilization đủ cao; chi phí/cam kết phụ thuộc lựa chọn model, serving mode và điều kiện dịch vụ.","Ước lượng demand, xác minh hỗ trợ và quota, so cost theo số giờ/capacity với on-demand; kiểm tra throughput/latency khi tải thực tế.","High, steady traffic hoặc model configuration yêu cầu provisioned serving.",D2-P11 đối chiếu on-demand với provisioned theo volume và cost ceiling.,Không tự rẻ hơn pay-per-use: thời gian idle vẫn trả phí. Không dùng làm backend Bedrock batch inference; hãy xem đó là hai lựa chọn mode khác nhau.,Inference capacity mode,Domain 2,2.1,GenAI economics,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/prov-throughput.html
https://docs.aws.amazon.com/bedrock/latest/userguide/batch-inference.html",14/09/2026
SageMaker AI managed spot training,"• Lower compute cost
• Interruptions
• Checkpoint / resume","SageMaker Managed Spot Training runs eligible training jobs on interruptible Spot computing capacity while SageMaker manages the training-resource lifecycle. It can lower training cost for workloads that tolerate waiting and interruption, especially when the training code saves and reloads checkpoints. Users configure runtime and waiting budgets and checkpoint storage; recovery quality depends on application support rather than Spot capacity automatically preserving every training step.","SageMaker Managed Spot Training chạy training job đủ điều kiện trên tài nguyên Spot có thể bị gián đoạn, trong khi SageMaker quản lý vòng đời tài nguyên training. Lựa chọn có thể giảm chi phí cho workload chấp nhận chờ và gián đoạn, đặc biệt khi mã training lưu, nạp lại checkpoint. Người dùng cấu hình ngân sách thời gian chạy, thời gian chờ và nơi lưu checkpoint; khả năng phục hồi phụ thuộc ứng dụng, không phải Spot tự giữ mọi bước training.",Giảm spend khi schedule linh hoạt và job có khả năng resume; SageMaker quản lý vòng đời training resources theo job.,"Cấu hình Spot, wait/runtime budget và checkpoint location; training code hỗ trợ save/load; theo dõi interruptions và output job.","Weekly retraining, budget ưu tiên hơn thời điểm hoàn tất chính xác, có checkpoint.",Bài knowledge check chọn Spot khi chi phí là ràng buộc và có thể tiếp tục sau gián đoạn.,"Không đảm bảo spare capacity; checkpoint không tự có trong mọi custom script. Job có deadline cứng cần đánh giá rủi ro chờ/interrupt, không chọn Spot chỉ vì discount.",Training capability,Domain 2,2.2,Training economics,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/sagemaker/latest/dg/model-managed-spot-training.html",14/09/2026
